CellType	NC005	NC012	NC013	NC026	NC028	NC032	NC033	NC034	NC035	NC036	NC040	NC041	NC042	NC043	NC046	NC047	NC048	NC050	NC054	NC055	NC056	NC057	NC059	NC060	NC063	NC064	NC067	NC068	NC069	NC070	NC073	NC075	NC077	NC078	NC079	NC080	NC081	NC084	NC085	NC086	NC087	NC089	NC090	NC091	NC093	NC094	NC095	NC096	NC101	NC102	NC103	NC104	NC105	NC106	NC107	NC108	NC110	NC112	NC114	NC116	NC120	NC123	NC124	NC126	NC129	NC130	NC131	NC132	NC138	NC139	NC140	NC143	NC144	NC146	NC147	NC148	NC149	NC151	NC152	NC153	NC157	NC158	NC163	NC165	NC166	NC169	NC173	NC175	NC176	NC177	NC178	NC181	NC183	NC184	NC185	NC186	NC187	NC189	NC190	NC194	NC195	NC197	NC199	NC203	NC206	NC216	NC217	NC221	NC222	NC223	NC225	NC226	NC227	NC228	NC231	NC232	NC238	NC240	NC242	NC243	NC244	NC250	NC251	NC253	NC256	NC258	NC260	NC264	NC265	NC267	NC270	NC275	NC282	NC283	NC284	NC285	NC288	NC290	NC292	NC306	NC308	NC309	NC311	NC313	NC317	NC323	NC329	NC331	NC332	NC333	NC334	NC337	NC342	NC343	NC350	NC351	NC366	NC367	NC378	NC385	NC390	NC391	NC394	NC403	NC404	NC409	NC412	NC419	NC420	NC423	NC425	NC429	NC439	NC446	NC447	NC448	NC461	NC473	NC476	NC481	NC483	NC485	NC489	NC496	NC504	NC507	NC509	NC510	NC514	NC518	NC520	NC522	NC525	NC526	NC530	NC532	NC534	NC536	NC537	NC539	NC540	NC541	NC544	NC547	NC548	NC550	NC554
B cells	0.033832644	0.000423824	0.000765337	0.002406637	0.00097951	0.008683734	0.010017445	0.003420449	0.001328733	0.003362813	0.001257665	0.002299643	0.001880947	0.013107514	0.002656419	0.002825502	0.002806634	0.001961941	0.003265137	0.001989442	0.003065422	0.002165263	0.01056892	0.00103335	0.006620697	0.002659246	0	0.005398849	0.006690668	0.030481617	0.016920443	0.001709414	0.003142554	0	0	0.002959109	0.000170179	0.001923416	1.77579347348419e-05	0	0.000410224	0	0.000890224	0.004193989	0.004450633	0.002631772	0.004061911	0.006998519	0.005184249	0.002124439	0.005801406	0.000326247	0.005349361	0.001220167	0.000697896	0.000532434	0	0.003976781	0.000219261	0.000459689	0	0.001346917	0	0	0	0	0	0	4.89919869048814e-05	0.000722511	0	0.003181338	0.000146171	0	0.003077509	0.000438916	0.006782503	0.000969579	0.088087805	0.000868969	0	0.003386771	0.001229285	0.007475468	0	0.00282451	0.00875562	0.001492998	0.00286359	0	0	0	0.005491183	0.001003443	0.002146539	0.004333271	0	0.010126226	0.000869155	0	0	0.00244209	0.002027436	0.006693048	0.001807898	0.002135512	0.004376099	0.00213324	0	0.010072482	0.00309217	0.004628268	0.001117652	0.003616339	0.000890701	0.001673417	0.004412259	0.005582402	0.003760826	0.003140044	0	0.003285546	0	0.0010256	0.001085713	0.015460018	0.002772744	0.01080118	0.002587965	0	0.003106925	0.001465475	0.002796539	0.002647254	0.001170724	0.007595162	0.003529749	0.001789971	0.01188031	0.003894407	0.007418578	0.003700233	0.002915858	0.000442679	0.003193728	0.003812652	0.002013097	0.000374351	0.002124773	0.002165413	0.001181027	0	0.001154435	0.001738655	0.002476463	0.002437126	0.000893118	0.002931699	0.002967437	0.002159003	0.002711462	0.001968894	0	0.004066904	0.00128526	0.002624671	0	0.000682922	0.000848264	0.003924253	0.032992038	0.002644775	0.006437837	0.001379887	0.026254962	0.001894608	0.001969425	0.00210981	0.002182977	0.000550733	0.001449749	0.002105772	0.000685222	0.004868609	0.006533575	0	0	0.000403013	0.003928502	0.00029695	0.001893051	0.013459807	0.001222285	0	0.003650366	0.003588435	0.007821674	0	0	0.008488427	0.00148378	0.02054002	0.000994287	0.005082721	0.020884596	0.000243591	0
Fibroblasts	0.368199227	0.362845126	0.332647362	0.282895153	0.257173789	0.324969158	0.380099967	0.345234195	0.293569247	0.283054212	0.391531418	0.345628379	0.320266209	0.361481533	0.35160397	0.322445479	0.351923471	0.355080519	0.276102333	0.369812493	0.288091571	0.329363554	0.327715335	0.339160313	0.290786618	0.306267125	0.326806048	0.275337468	0.280281631	0.384980948	0.47298525	0.296151745	0.334079093	0.41007811	0.386091739	0.316286089	0.316967338	0.311215598	0.398057451	0.453994871	0.390714355	0.429772031	0.369988651	0.37309417	0.268258894	0.273649158	0.370693159	0.415005942	0.417184131	0.326291636	0.319077504	0.339341211	0.365000276	0.322302686	0.308061914	0.363718161	0.330915093	0.323361648	0.352619286	0.351264276	0.301398722	0.299566672	0.294203009	0.386063611	0.319285328	0.307455419	0.267178903	0.274704077	0.3143312	0.343091096	0.213290517	0.286306289	0.318799001	0.364302546	0.32539793	0.324170804	0.356994537	0.340371798	0.279769434	0.287781284	0.303862957	0.318792015	0.334325696	0.305738744	0.337522332	0.415021486	0.499130428	0.439474829	0.511187093	0.523422018	0.441712713	0.442595327	0.341375531	0.461306772	0.484062676	0.578820782	0.321627182	0.440835191	0.39921291	0.312426593	0.461710264	0.4033523	0.362706964	0.31926586	0.327463653	0.390260073	0.320141774	0.352086267	0.484399348	0.349036481	0.332507948	0.308021609	0.519926675	0.48632949	0.349385842	0.323151412	0.362020222	0.384225922	0.353196005	0.32930127	0.401622256	0.300295225	0.305142473	0.469814033	0.319247753	0.332859612	0.327698477	0.370211197	0.349845041	0.440095183	0.387149078	0.359400807	0.3436611	0.347537401	0.462890166	0.41302508	0.315439727	0.372287863	0.300654681	0.344708047	0.446158422	0.355160752	0.407926156	0.387208157	0.355012254	0.324927466	0.321443534	0.301093403	0.281329294	0.31987862	0.393189749	0.307901767	0.375750511	0.368938751	0.285919243	0.31430439	0.460970244	0.244541623	0.33964702	0.256386512	0.358100963	0.306760372	0.263561962	0.520251105	0.285067357	0.341486073	0.308062647	0.35993854	0.369655515	0.395742042	0.306424784	0.327618167	0.4500336	0.319277356	0.290666115	0.394513881	0.300679814	0.294898374	0.288904038	0.346954294	0.303279455	0.315298769	0.311149596	0.33368004	0.303766741	0.46205036	0.405225532	0.251661576	0.300919782	0.284461003	0.343468947	0.337318361	0.367400635	0.368994146	0.27605295	0.337893414	0.3265667	0.391685065	0.29174197	0.324577457	0.39743433	0.253953093	0.33313985	0.319458702	0.320997259	0.295266521	0.380851767
Keratinocytes	0.200956364	0.243008056	0.16694262	0.216333659	0.329622474	0.17400869	0.223183782	0.245115676	0.265012332	0.185464333	0.185147209	0.283711096	0.245837017	0.184790972	0.264511684	0.204955781	0.18016964	0.21660789	0.206904528	0.248847531	0.331124088	0.298644102	0.177289801	0.330662013	0.276627583	0.274639068	0.333622974	0.189171026	0.198557915	0.190976102	0.254268912	0.317466833	0.140662386	0.284891246	0.193843628	0.202183581	0.299117689	0.29588847	0.281096054	0.224489933	0.26665317	0.192943871	0.335309914	0.151748784	0.229065887	0.244944067	0.216156007	0.193258244	0.20105602	0.280870843	0.264905972	0.268486085	0.199829991	0.269669007	0.24154046	0.315004059	0.330559016	0.344621297	0.352106079	0.297721578	0.303114502	0.241590539	0.251429488	0.309059601	0.243140846	0.374957145	0.346707786	0.348241639	0.214699436	0.289382278	0.454649875	0.2045607	0.216798528	0.268852867	0.276453769	0.194297263	0.148042703	0.210636485	0.224761698	0.306027399	0.272489391	0.259798278	0.34170325	0.365741326	0.22577957	0.144116466	0.222613828	0.21152546	0.173531782	0.119788709	0.227509	0.216627749	0.204407246	0.173082513	0.201304376	0.162322592	0.347828159	0.296301832	0.243559896	0.439844759	0.311490047	0.184468439	0.259777359	0.318805669	0.399942579	0.216670038	0.302054527	0.296097611	0.341578713	0.365987822	0.113832733	0.141956939	0.158603141	0.064569135	0.194587485	0.22452702	0.165672781	0.162846258	0.143404152	0.2826839	0.280535272	0.232111495	0.25892355	0.150660075	0.272112921	0.203886323	0.230587099	0.194586544	0.150799631	0.126140352	0.106224353	0.165717382	0.148676136	0.265925363	0.172520842	0.295790762	0.175230655	0.272161105	0.1522504	0.192604396	0.287041574	0.145702995	0.236836029	0.353010135	0.202080042	0.186282818	0.336498074	0.167043221	0.151212122	0.214738632	0.286470974	0.302174997	0.212744593	0.21275518	0.197595165	0.251477105	0.120694314	0.280665432	0.21072549	0.201091108	0.113282807	0.255908776	0.478229298	0.181458551	0.284283691	0.327189768	0.329090531	0.21005222	0.213468882	0.231525261	0.22908569	0.230161175	0.17291285	0.187934926	0.300462536	0.183834797	0.219769735	0.318264279	0.345698374	0.291491726	0.360840256	0.410213458	0.316442079	0.200894795	0.155297995	0.249204195	0.385396627	0.481305037	0.319314161	0.365026518	0.222666548	0.231571013	0.223157174	0.234340573	0.266803175	0.194633012	0.261321443	0.258216853	0.385463904	0.284295798	0.116925575	0.360678239	0.180530148	0.128223931	0.158089807	0.25508073	0.203186536
LEC	0.013856029	0.030247879	0.023065308	0.017363449	0	0	0	0	0.036547873	0	0.026582832	0.004534201	0.011115487	0.0148385	0	0.009412156	0	0	0	0.007418794	0.003033594	0.001007139	0	0	0	0	0	0	0	0	0	0.008293244	0	0	0.000928999	0	0	0	0.031926981	0.039350744	0.003205784	0.04495934	0.024269983	0.015294215	0	0.024724205	0.016274544	0.009740652	0.053730215	0.037715457	0.031836725	0.024322234	0	0.012781361	0.018417244	0.006450116	0.017972849	0.03676533	0.022977119	0.027186861	0.017952649	0	0.031158341	0.022348942	0.02879146	0.01362244	0	0.009699926	0.04527975	0.035369987	0	0.019148635	0.034302767	0.05648274	0	0.036780539	0	0.028361276	0	0	0.022730805	0.008022689	0.052979559	0	0.010686731	0	0	0	0	0	0.035253374	0.00459201	0.013733676	0	0.040327756	0.084403634	0	0.092425382	0.012966139	0	0.023337888	0.021893429	0.021625951	0.000764983	0.038752658	0	0.015123428	0	0	0	0.016053071	0.006764631	0.035232729	0	0.023316881	0.026529126	0	0.017096108	0.013346217	0.021479714	0.028105932	0.012363909	0.042677975	0.020667434	0.018671431	0	0.002509705	0	0.02616391	0.065973431	0.019621922	0.015700931	0.017483976	0	0.051240972	0.011495394	0.016282956	0.021613236	0.041426051	0	0.058083864	0.022247454	0.010743403	0.018261719	0.045388688	0.020488396	0.021450409	0.02996654	0	0.000484156	0.012907337	0.035393444	0.024145476	0.000255279	0	0.029125105	0.029722819	0.016040809	0.018384544	0.031969766	0.025362507	0	0	0.00849749	0.021816625	0.014790619	0.000238417	0	0.034525047	0	0.059392846	0	0.029860019	0.035031618	0	0.010130691	0.002830014	0.023051259	0.007682761	0.036078904	0.020446807	0.008792112	0	0	0.023621399	0.013913564	0.033818858	0.007899371	0.027351184	0	0.014695279	0.01362174	0.022885704	0.029353421	0	0.040239158	0.030512718	0.015745104	0.025342006	0	0.001055247	0	0.012401703	0.009574454	0	0.044817101	0
Melanocytes	0.002541747	0.004429884	0.040840179	0.038116875	0	0	0	0.02453474	0.078942928	0.033683169	0.041067548	0.025083477	0.019973164	0	0.046415938	0.038247003	0	0.002582386	0.011630731	0	0.04105227	0.018307796	0	0	0	0	0	0	0.004467414	0	0	0	0	0	0	0	0	0.010540892	0.001774571	0	0.001700322	0	0	0.028322903	0.031590751	0.095459752	0.003330613	0	0.01245532	0.056325211	0.049015427	0	0	0.021822583	0.043996842	0	0	0	0.01008446	0.031977066	0	0	0	0	0.008174551	0	0	0	0.025460821	0	0	0.026822154	0.037822572	0	0	0.080822834	0.002562033	0.056351886	0	0	0	0	0.045685369	0	0	0.007639636	0	0	0	0	0	0	0.008742486	0	0.030352295	0.058232569	0	0.003160753	0	0	0	0.001994954	0.017652641	0.017264602	0.041940705	0	0.052594798	0.036113438	0	0	0.105770419	0.063972915	0.013493194	0.022438127	0.052854511	0.060817262	0.05030378	0.034524797	0.090190652	0.016735135	0.011857373	0.042942731	0.003360088	0	0.037737652	0	0.025728855	0	0.045792527	0.031655927	0.04809512	0.038340584	0.063143158	0.014880124	0.035617287	0.078051713	0.06576322	0.052876966	0.051311989	0.031029521	0.024496019	0.049961356	0.038006141	0.083047548	0.057520016	0.066409366	0.008074524	0.052582805	0.010898889	0.030822243	0	0.005648119	0.0243201	0.005410421	0.020999068	0.03556205	0	0	0.059612543	0	0.013555436	0.010863406	0	0	0.011355851	0.000404965	0	0	0.024106783	0	0.001114514	0.00546797	0	0.045562328	0	0.004167877	0.025613068	0.037995614	0.006670708	0.000684866	0.015120455	0.0062371	0	0.011484639	0.052969614	0	0	0	0.037185406	0	0.0218461	0	0.023366355	0	0	0	0.020119219	0	0	0.007615672	0.002207726	0	0.023042687	0.040703992	0	0.057506526	0
Myeloid cells	0.092452393	0.078357442	0.085329349	0.059443577	0.05441897	0.084449438	0.040330232	0.019658715	0.054108879	0.049113622	0.085349995	0.053316694	0.074923908	0.106593614	0.051584815	0.054640287	0.060044974	0.086561666	0.049765577	0.081778131	0.024130836	0.073518484	0.139232662	0.095368991	0.113139817	0.056764628	0.08278449	0.038284851	0.082101199	0.108022752	0.056446205	0.103308236	0.068889159	0.089618761	0.163222905	0.06723545	0.096937297	0.051358537	0.081793645	0.093056676	0.087511606	0.147610501	0.091950764	0.065514795	0.050270877	0.030282784	0.079572708	0.099548311	0.133084315	0.065026213	0.053687671	0.100555756	0.099793036	0.098042378	0.064911893	0.080727688	0.084454192	0.046000351	0.096076335	0.071038897	0.063799445	0.09027381	0.093797043	0.118313296	0.096938497	0.080245894	0.075789968	0.076190874	0.046796039	0.087056512	0.063974464	0.050237104	0.076623116	0.069658045	0.069949567	0.096473769	0.057444254	0.087787499	0.094687414	0.11132635	0.093721693	0.132122703	0.043553956	0.05817883	0.064838343	0.081229132	0.043125128	0.078853748	0.110105021	0.094609754	0.037222739	0.044006211	0.078783913	0.101833394	0.081855414	0.063054676	0.126052782	0.082161598	0.116709009	0.184146579	0.187503459	0.106079908	0.108631008	0.087912856	0.057743314	0.102957094	0.030162505	0.112856498	0.161440857	0.12377436	0.011719787	0.059943697	0.110289903	0.047993422	0.052206935	0.042868366	0.032336585	0.058627388	0.001131357	0.064861273	0.149256156	0.042434647	0.066342788	0.101466525	0.08664764	0.063383411	0.029174131	0.09585908	0.029774485	0.143090491	0.086661678	0.052739555	0.072280909	0.10731097	0.040332832	0.097085316	0.05116856	0.054411167	0.091627089	0.077848913	0.041847118	0.015645844	0.081483412	0.103021474	0.052723377	0.052184846	0.043645068	0.05820919	0.04790388	0.058539305	0.063044214	0.08431414	0.080548661	0.044491668	0.03750272	0.077928602	0.111161383	0.140141491	0.031031163	0.16152335	0.082544998	0.072098629	0.136328721	0.090130677	0.059299269	0.083166659	0.104063054	0.118909669	0.062236151	0.092578002	0.078909993	0.086855746	0.136876862	0.049522748	0.090130437	0.084107997	0.042194052	0.036837014	0.048795325	0.110407228	0.098700288	0.08029987	0.189790537	0.068662325	0.046695469	0.132605351	0.107084914	0.095707386	0.062758243	0.084994094	0.062798721	0.121928728	0.076532963	0.110497768	0.04906458	0.055270976	0.05283359	0.111594154	0.141122702	0.088597803	0.083342669	0.088247086	0.075805327	0.060163487	0.046257678	0.047078681	0.079010096
NK cells	0.008499564	0.063901844	0.012476794	0.09280805	0.090199771	0.047980029	0.110370181	0.084342988	0	0.08225215	0.022286386	0	0.03935757	0	0	0.08411081	0.127849647	0.061318646	0.13335361	0	0.032895408	0.027494685	0	0.02297591	0.08883981	0.070301259	0.056786488	0.168211087	0.066568865	0.094408003	0.093918139	0	0.062343565	0	0	0.138887312	0.070594425	0.079352847	0	0	0	0	0	0.098574678	0.066797478	0	0.015376141	0	0	0.007468751	0.048700772	0.069863067	0.077681208	0	0.02099349	0	0.059903308	0	0	0.027074182	0.077492494	0.055000432	0	0	0.000280382	0	0.120900647	0.086888733	0.075346529	0	0.096320455	0.059163031	0	0	0.067877415	0	0.107718317	0	0	0.085236242	0.063776821	0.072317534	0	0.151846853	0	0.11790744	0.042056725	0.020168337	0	0.067025739	0	0	0.035538144	0	0	0	0	0	0	0	0	0	0	0	0	0.02130773	0.011765832	0	0	0	0.111603404	0.095220761	0	0.108186485	0.083003995	0.063448732	0.048690824	0.055081575	0.110270099	0	0	0.010219685	0	0.02855307	0.010530894	0.049311657	0.078216869	0.024973633	0.120465571	0	0.048817923	0.091133412	0.034447369	0.011070915	0.042157961	0	0.088936253	0	0.083065001	0.042929365	0	0.11554437	0	0	0.077859392	0.046972943	0.028599427	0.102408719	0.14436972	0.069529791	0.018957652	0.059193013	0.015257541	0.112868197	0.134710011	0.041995254	0.033222074	0.041807409	0.072963638	0.093616366	0.064957176	0.045973778	0.031170117	0	0.029233984	0.02729563	0.03674105	0.054061312	0	0.039362167	0	0.053321907	0	0	0.052496039	0.052477163	0.067768021	0	0	0	0	0	0	0	0.114664755	0	0	0	0.005854199	0.008700582	0.077299727	0.041625695	0	0	0	0.07952388	0.001624833	0	0.018071215	0.016716096	0.109385543	0	0.016683493	0.10400537	0.125302088	0.003710904	0.037055812
Pericytes	0.116207583	0.02929393	0.180177168	0.135103363	0.14475286	0.160965482	0.104938543	0.128482607	0.088076605	0.274338671	0.099446329	0.120745353	0.134187953	0.116208941	0.125246369	0.150742379	0.21113041	0.127137537	0.229851018	0.104261138	0.123306646	0.102018122	0.191170663	0.110636239	0.132456262	0.128232428	0.1	0.240346532	0.239455358	0.109044768	0.105461052	0.089285805	0.220687674	0.166868094	0.118476333	0.177303195	0.091637231	0.147388586	0.039658856	0.032194428	0.106322393	0	0.020525374	0.123643983	0.185159292	0.161263836	0.114225097	0.093172414	0.038781577	0.071280312	0.102927849	0.042997612	0.102790437	0.121943599	0.135580165	0.066556912	0.025579003	0	0.056485861	0.080520602	0.059584662	0.129291638	0.060052601	0.041832337	0.091263309	0.069232134	0.073243218	0.053040557	0.07051148	0.052791257	0.03345098	0.133473277	0.110230365	0.090071816	0.139221404	0.145360406	0.206155076	0.141076017	0.186962913	0.083783502	0.038953814	0.029279356	0.050496471	0.11101878	0.110141861	0.133867791	0.040321996	0.09751137	0.103138149	0.020113852	0.09726735	0.139517864	0.114494238	0.101195931	0.071547318	0	0.052159668	0	0.047850592	0	0	0.063957393	0.032265998	0.125489244	0.04228871	0.106266234	0.124324025	0.086883711	0.012581083	0.1	0.196664428	0.137748097	0.041390705	0.13437995	0.085496835	0.111407949	0.237168586	0.14390306	0.157479965	0.102258746	0.025542426	0.154797057	0.007848461	0.077171343	0.062007647	0.187042435	0.1246565	0.170033115	0.088578807	0.15	0.148663122	0.097302474	0.124546515	0.103076222	0	0.062377924	0.116379688	0.11743469	0.061865595	0.159312243	0.023444019	0.068341191	0.101875877	0	0.061568502	0.151260141	0.064511884	0.104707333	0.221396057	0.151594264	0.053204257	0.02260035	0.051085493	0.098572474	0.202869879	0.073247396	0.077861094	0	0.134298229	0	0.151729952	0.120061832	0	0.075723392	0.114946817	0.040908662	0	0.067052013	0.134760382	0.10886072	0.073774118	0.13432151	0.069522324	0.140069359	0.096924039	0.124374602	0.191596372	0.115745272	0.124736448	0.107220504	0.099384295	0.062762966	0.12241565	0.201712988	0.094962205	0.018941864	0.02173381	0.027269214	0.100572635	0.123538442	0.105877478	0.083110745	0.14099172	0	0.189676052	0.09912129	0.118405589	0.153316313	0	0.119622975	0.09913116	0.107426639	0.163721501	0.160982364	0.210911307	0.100969145	0.146385282
Schwann Cells 	0.016924207	0.026749881	0.001013625	0.029995822	0.011175643	0.033038558	0.030018951	0.021859927	0.004686253	0.005231363	0.024334636	0.006290838	0.011540013	0	0.009216235	0.040336442	0.006188486	0.02220231	0.049286239	0	0.040743064	0.034448024	0	0.041404904	0.037725743	0.059095722	0	0.042369728	0.032074257	0	0	0.041396092	0	0	0	0.012776497	0	0.032416203	0	0	0	0	0	0.010938835	0.025778007	0.015003529	0	0	0	0.043288979	0.043906336	0	0.010529422	0	0.031975926	0	0.017063919	0	0.014711065	0.03156881	0.025243399	0.007450458	0	0	0	0	0	0	0	0	0.0563515	0	0.005311985	0	0	0	0.010446012	0.000655334	0	0.043384785	0	0.028874904	0	0	0	0.014686584	0	0.008426497	0	0	0	0	0.012362728	0	0	0	0.00792517	0	0	0	0	0	0.015775304	0	0	0.004924946	0.012505312	0.012284649	0	0	0.048534676	0.038190006	0	0.040139896	0.024811019	0.003678191	0.020779584	0.015378623	0.039899645	0	0	0	0	0	0.014074614	0.045213749	0.035636341	0.057286158	0.011683333	0	0.007133699	0.032103658	0.07428575	0.060338873	0.017259288	0	0.042081221	0.025856222	0.030295807	0.001168857	0	0.092678938	0.000579553	0.039929241	0.008464907	0.018908484	0	0.014514889	0.031158793	0.027173565	0.024085549	0.013488788	0	0.015130954	0	0.021290328	0.008008397	0.014217169	0.034121856	0	0	0.033533742	0.064552261	0	0	0.010516146	0	0.00448598	0	0.045825689	0	0.041664057	0	0	0.003119049	0.020473524	0.007082617	0	0	0	0	0	0	0	0.038269174	0.011287008	0	0.074501454	0.027198408	0	0.004333222	0	0	0	0	0.008851558	0	0	0.011478358	0	0.026930291	0	0	0	0	0.004273312	0
SMC	0.028328556	0.037185866	0	0	0	0.009038083	0	0	0	0	0.016032981	0.004897548	0	0	0	0	0	0.010782746	0	0	0	0.008622813	0	4.69131393290023e-05	0	0.009444401	0	0	0	0.00039687	0	0.007817256	0	0.001156021	0	0	0	0	0.042317926	0.053446058	0	0.041411204	0.000399827	0	0	0	0.026249621	0.015168834	0.034090528	0.020521935	0.019344903	0.025658088	0.009505007	0	0.041386478	0.025359483	0.025669191	0	0.009785535	0	0.044117694	0	0.011689472	0.006943909	0.007298446	0	0.01034116	0.012143309	0.023982437	0.019104207	0.013319483	0	0.026303578	0.057761815	0	0	0.031228558	0.006383918	0.012782388	0.017736028	0.080521713	0.022406745	0	0	0	0.000507014	0.024564401	0.009657475	0.014709342	0.0249299	0.016166583	0.032117255	0.015767067	0.018464108	0.010510315	0.042440494	0.0094996	0.050219284	9.9897776699609e-05	0	0.015958343	0.029238967	0.010587913	0.011136457	0	0.034826127	0.015790937	0.011589247	0	0	0	0.007936658	0.033371223	0.011667211	0.019528327	0.010718862	0	0.013562147	0.007699665	0	0.010071991	0	0.022961743	0	0.011057691	0.01210743	0.006616751	0	0.006826677	0.041457731	0	0.020231439	0	0.018367647	0.003076889	0	0.0080256	0	0.020896673	0	0.001128993	0.020219153	0	0.015079046	0.014762905	0.003284895	0.007533161	0.022743981	0	0.007757563	0.012242544	0.01869461	0.010553327	0.011183244	0.002947662	0.006222411	0.053740086	0.016518119	0.003151458	0.000201216	0	0.016163912	0.026157642	0.00531174	0	0.014620561	0.009243772	0.013088406	0	0.017980031	0.001342872	0.002013518	0	0.001714354	0	0.040917692	0.014803224	0	0	0	0	0	0.019923399	0.027923821	0.015880064	0.021899714	0.007078083	0	0.001003922	0	0.023983536	0.01191731	0.000981562	0	0	0.017856132	0.014277571	0.006336625	0.033514542	0	0.010072819	0	0	0.014280031	0.011454635	0.003048148	0.007029622
