PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	PG.ProteinNames	PG.Qvalue	[1] hela_DIA9_S1-A9_1_9613.d.PG.Quantity	[2] hela_DIA10_S1-A10_1_9640.d.PG.Quantity	[3] hela_DIA11_S1-A11_1_9667.d.PG.Quantity	[4] hela_DIA12_S1-A1_1_9711.d.PG.Quantity	[5] hela_DIA13_S1-A2_1_9731.d.PG.Quantity	[6] hela_DIA1_S1-A5_1_9193.d.PG.Quantity	[7] hela_DIA2_S1-A6_1_9227.d.PG.Quantity	[8] hela_DIA3_S1-A1_1_9268.d.PG.Quantity	[9] hela_DIA4_S1-A2_1_9308.d.PG.Quantity	[10] hela_DIA5_S1-A3_1_9353.d.PG.Quantity	[11] hela_DIA6_S1-A6_1_9491.d.PG.Quantity	[12] hela_DIA7_S1-A7_1_9531.d.PG.Quantity	[13] hela_DIA8_S1-A8_1_9571.d.PG.Quantity
A0A024RBG1;Q9NZJ9	NUDT4B;NUDT4	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B;Diphosphoinositol polyphosphate phosphohydrolase 2	NUD4B_HUMAN;NUDT4_HUMAN	0	214.032196	216.774292	219.9161682	142.3509216	168.7925568	168.3488464	170.0324402	204.729599	183.4874268	192.1685333	210.7568054	183.0849762	210.3470917
A0A0B4J2A2	PPIAL4C	Peptidyl-prolyl cis-trans isomerase A-like 4C	PAL4C_HUMAN	0	1400.304199	1300.352295	1435.508301	3730.166016	3806.97876	4388.258301	3026.079346	821.6219482	632.1586914	579.9995117	716.6399536	931.9620361	812.62854
A0A0B4J2D5;P0DPI2	GATD3B;GATD3	"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial"	GAL3B_HUMAN;GAL3A_HUMAN	0	382.9277039	324.8262329	376.516571	305.2443237	453.7997742	426.381134	477.1837158	384.653656	401.5537415	427.6626587	350.9637451	343.3059082	384.4403381
A0A0U1RRL7	MMP24OS	Protein MMP24OS	MMPOS_HUMAN	0	19.59397507	11.0985508	9.135994911	14.33361435	28.86964417	19.79117966	NaN	8.019153595	NaN	18.78460503	25.30359459	8.345659256	16.57979393
A0A1B0GTU1	ZC3H11B	Zinc finger CCCH domain-containing protein 11B	ZC11B_HUMAN	0	138.6478882	131.1304779	187.7177734	119.3155899	NaN	98.28849792	162.4901428	138.7637329	179.3387756	116.1736908	NaN	213.0181732	149.8421936
A0A1B0GUY1	MARCOL	MARCO-like protein	MRCOL_HUMAN	0	459.0333557	438.0441589	387.5449829	360.9520569	257.7511902	NaN	NaN	337.8094482	334.0221863	296.6395874	354.2363892	375.5012207	299.18396
A0A804HLA8;P63218	GNG5B;GNG5	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5B;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5	GBG5B_HUMAN;GBG5_HUMAN	0	97.08431244	67.87441254	97.47098541	108.4386444	82.70478058	154.2543335	110.4373703	139.2042389	148.6866302	93.03955078	160.5561676	145.1841888	126.544426
A0AVT1	UBA6	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN	0	1124.610962	1098.858276	1168.952271	1053.604126	956.4763794	938.8898926	913.6674805	1089.380737	1091.027954	1077.954102	1071.755615	1076.473633	1085.332642
A0FGR8	ESYT2	Extended synaptotagmin-2	ESYT2_HUMAN	0	1006.032166	1029.279785	995.4188843	860.4842529	858.4846802	783.3234863	813.4632568	951.8140259	951.7811279	899.9609985	896.3170776	997.0512085	934.9067383
A0JNW5	BLTP3B	Bridge-like lipid transfer protein family member 3B	BLT3B_HUMAN	0	27.81900024	28.43726921	28.2265377	25.20346069	29.86068916	54.12283325	32.28727722	24.16782379	26.6681633	32.366539	13.15818882	21.05234337	29.04579926
