pro_id,age_group,rho_age,rho_p_age
A0AVT1,age1,0.072085148,0.607031637
A0AVT1,age2,0.01346557,0.923718522
A0AVT1,age3,0.007338884,0.96155866
A0AVT1,age4,0.178654024,0.228787768
A0FGR8,age1,0.095387841,0.495765365
A0FGR8,age2,-0.025882922,0.853754739
A0FGR8,age3,0.140178847,0.351632364
A0FGR8,age4,0.218663275,0.139506132
A0MZ66,age1,0.152152879,0.275890968
A0MZ66,age2,0.203918723,0.142759186
A0MZ66,age3,0.001541782,0.992178594
A0MZ66,age4,0.200624422,0.175828921
A0PJW8,age1,-0.130785357,0.349549931
A0PJW8,age2,0.258587325,0.061781404
A0PJW8,age3,-0.192476102,0.199374955
A0PJW8,age4,0.257631822,0.080565634
A1A4S6,age1,0.069746815,0.618772099
A1A4S6,age2,-0.209562974,0.131848747
A1A4S6,age3,-0.05248227,0.728319948
A1A4S6,age4,0.007053654,0.962625419
A1A5B4,age1,-0.035316884,0.801313681
A1A5B4,age2,0.182954362,0.189241434
A1A5B4,age3,0.127844588,0.39593427
A1A5B4,age4,0.007747456,0.9589219
A1A5D9,age1,0.214965328,0.122008957
A1A5D9,age2,0.028624415,0.83843949
A1A5D9,age3,0.039531298,0.793718818
A1A5D9,age4,0.228607771,0.12205735
A1IGU5,age1,0.128205128,0.359202742
A1IGU5,age2,0.299790356,0.029583538
A1IGU5,age3,0.011162504,0.941390005
A1IGU5,age4,0.061748381,0.679238418
A1L0T0,age1,-0.310272537,0.024154589
A1L0T0,age2,-0.169891953,0.223226407
A1L0T0,age3,-0.094418748,0.531334491
A1L0T0,age4,-0.183048104,0.217399008
A1L3X0,age1,-0.179164651,0.198692096
A1L3X0,age2,0.151024028,0.279501549
A1L3X0,age3,-0.03102066,0.837510317
A1L3X0,age4,0.090309898,0.544888333
A1X283,age1,0.498387357,0.00017768
A1X283,age2,0.306321561,0.026092553
A1X283,age3,0.363058896,0.013584441
A1X283,age4,0.056544866,0.704999205
A2RRP1,age1,0.078777617,0.573981185
A2RRP1,age2,0.171182067,0.219691611
A2RRP1,age3,0.033487512,0.824760268
A2RRP1,age4,0.207215541,0.16183542
A3KMH1,age1,0.326721497,0.017342324
A3KMH1,age2,0.314304144,0.022304104
A3KMH1,age3,0.186062288,0.214984094
A3KMH1,age4,0.088575393,0.552667678
A3KN83,age1,-0.107643928,0.441842165
A3KN83,age2,-0.109982261,0.43194097
A3KN83,age3,0.06827012,0.651168926
A3KN83,age4,0.111008326,0.456349563
A4D0S4,age1,0.164005806,0.239858087
A4D0S4,age2,0.045879697,0.743630034
A4D0S4,age3,0.1484428,0.323736432
A4D0S4,age4,0.240402405,0.103576129
A4D1P6,age1,-0.016610224,0.905924283
A4D1P6,age2,0.022415739,0.873200791
A4D1P6,age3,0.286956522,0.053522775
A4D1P6,age4,-0.144426457,0.331652727
A4D1U4,age1,-0.061038542,0.663318837
A4D1U4,age2,0.165215288,0.236372798
A4D1U4,age3,0.092938637,0.537815958
A4D1U4,age4,-0.102682701,0.490982886
A5D8V6,age1,-0.09909692,0.479093296
A5D8V6,age2,-0.179970972,0.196653605
A5D8V6,age3,-0.070120259,0.642343105
A5D8V6,age4,0.131822387,0.375913281
A5YKK6,age1,-0.047734236,0.733636151
A5YKK6,age2,0.29019513,0.035417868
A5YKK6,age3,0.390070922,0.007734834
A5YKK6,age4,0.025555042,0.864378211
A6ND36,age1,0.230930495,0.096195125
A6ND36,age2,0.179809708,0.197060101
A6ND36,age3,-0.006722171,0.964814246
A6ND36,age4,0.275092507,0.061575229
A6NHR9,age1,0.067972908,0.627742777
A6NHR9,age2,0.201257862,0.14813168
A6NHR9,age3,0.054579093,0.717897027
A6NHR9,age4,0.013644773,0.927484724
A6NIH7,age1,0.045557168,0.745372474
A6NIH7,age2,-0.156587647,0.262008642
A6NIH7,age3,-0.068516805,0.649989359
A6NIH7,age4,-0.253122109,0.086155915
A6NMZ7,age1,0.414610547,0.002195303
A6NMZ7,age2,0.401144977,0.003119612
A6NMZ7,age3,0.307308048,0.038197119
A6NMZ7,age4,0.351410731,0.015877113
A6QL63,age1,0.041848089,0.765500106
A6QL63,age2,0.191985164,0.168035313
A6QL63,age3,-0.02769041,0.854788474
A6QL63,age4,-0.1703284,0.251486804
A7E2V4,age1,0.238832446,0.085109323
A7E2V4,age2,-0.052330269,0.709061323
A7E2V4,age3,0.121307431,0.420687683
A7E2V4,age4,0.042668825,0.775254044
A8K2U0,age1,0.52765683,6.35E-05
A8K2U0,age2,0.603692953,2.86E-06
A8K2U0,age3,0.418439716,0.004081728
A8K2U0,age4,0.400323774,0.005615191
A8MQ03,age1,0.178358329,0.200745645
A8MQ03,age2,-0.013788099,0.921891603
A8MQ03,age3,-0.133888375,0.373830299
A8MQ03,age4,-0.101410731,0.496392622
A8MXV4,age1,0.293501048,0.033307976
A8MXV4,age2,-0.040961135,0.770336834
A8MXV4,age3,-0.004625347,0.9758872
A8MXV4,age4,0.203283996,0.170080227
A8TX70,age1,0.299467828,0.029765637
A8TX70,age2,0.460136674,0.000527073
A8TX70,age3,0.603083565,1.40E-05
A8TX70,age4,0.648242368,1.66E-06
A9UHW6,age1,-0.050233833,0.720235949
A9UHW6,age2,-0.006611837,0.962618596
A9UHW6,age3,-0.167684243,0.264393603
A9UHW6,age4,0.006128585,0.967564654
B1AK53,age1,0.059909692,0.669183945
B1AK53,age2,0.129575875,0.354054466
B1AK53,age3,0.222571693,0.136839528
B1AK53,age4,0.103839038,0.486091877
L0R6Q1,age1,-0.101273988,0.469448769
L0R6Q1,age2,-0.040316078,0.77385996
L0R6Q1,age3,-0.212580944,0.15570556
L0R6Q1,age4,-0.060823312,0.68379252
O00115,age1,-0.197145622,0.156729489
O00115,age2,-0.107805193,0.441155272
O00115,age3,-0.004131977,0.978493337
O00115,age4,0.072386679,0.627719859
O00116,age1,0.340025802,0.013105947
O00116,age2,0.221738429,0.110477168
O00116,age3,0.142522356,0.343575039
O00116,age4,0.053075856,0.722360357
O00139,age1,0.029027576,0.836192144
O00139,age2,0.093533301,0.504213515
O00139,age3,-0.03435091,0.820308196
O00139,age4,0.200624422,0.175828921
O00142,age1,0.184244477,0.186099312
O00142,age2,-0.199242058,0.152301206
O00142,age3,0.078630897,0.602390277
O00142,age4,0.06140148,0.68094488
O00148,age1,0.102402838,0.464489542
O00148,age2,0.115223351,0.410211325
O00148,age3,0.033734197,0.82348768
O00148,age4,0.165471785,0.26541237
O00151,age1,0.206740848,0.13722224
O00151,age2,0.101273988,0.469448769
O00151,age3,0.223681776,0.134854279
O00151,age4,0.309320074,0.034812256
O00154,age1,0.134413804,0.336250982
O00154,age2,0.437026286,0.001186311
O00154,age3,0.163860623,0.275561578
O00154,age4,0.391419981,0.006858619
O00159,age1,0.09425899,0.500898899
O00159,age2,-0.003950976,0.977749481
O00159,age3,0.087511563,0.56190719
O00159,age4,0.077012026,0.60584285
O00161,age1,-0.061119174,0.662900666
O00161,age2,0.170214482,0.222339001
O00161,age3,0.076164046,0.613858505
O00161,age4,-0.025670675,0.863768996
O00165,age1,-0.010804709,0.938804755
O00165,age2,0.087808418,0.530753413
O00165,age3,-0.005118717,0.973281315
O00165,age4,-0.013297872,0.929331388
O00170,age1,0.231817449,0.09489724
O00170,age2,0.159490405,0.253181974
O00170,age3,0.261671292,0.079152641
O00170,age4,0.239130435,0.105458198
O00178,age1,-0.077487502,0.580287125
O00178,age2,-0.065392679,0.640887346
O00178,age3,0.051495529,0.733241979
O00178,age4,-0.177960222,0.230623144
O00182,age1,0.266731172,0.053812128
O00182,age2,0.20682148,0.137066456
O00182,age3,0.102065988,0.498473747
O00182,age4,0.302035153,0.039499886
O00186,age1,0.34631511,0.011436373
O00186,age2,-0.290437026,0.035259799
