Sample_ID,Sex,Age,Gene_name,PRM,DIA
NCN004,female,71,FLNB,595.5544434,2922.005127
NCN004,female,71,NDUFB1,634.7322998,84.06242371
NCN004,female,71,H6PD,301.0571289,451.6755066
NCN004,female,71,F12,360.772644,129.1245575
NCN004,female,71,CSTA,16354.69141,7402.88916
NCN004,female,71,IGKC,114463.75,216.9686127
NCN004,female,71,IGHG3,2893.205078,4905.740234
NCN004,female,71,IGHM,2970.209961,2578.199951
NCN004,female,71,IGHA1,6708.696289,3734.796143
NCN004,female,71,HBD,12341.42188,2567.238525
NCN004,female,71,COL1A1,140219.2344,63585.54297
NCN004,female,71,KRT6A,1327.265259,33573.83984
NCN004,female,71,APOC1,1466.43689,287.3625793
NCN004,female,71,GBA1,678.927063,297.5514526
NCN004,female,71,APOB,3410.11499,1173.796387
NCN004,female,71,KRT6B,896.3591309,5107.102051
NCN004,female,71,ARG1,5361.734375,869.4216309
NCN004,female,71,ALDH2,5421.421875,1426.258667
NCN004,female,71,POLB,21.85559082,31.7611866
NCN004,female,71,IVL,26.47097397,253.1203156
NCN004,female,71,RPSA,2638.875977,1477.067017
NCN004,female,71,LGALS1,9869.060547,2299.965576
NCN004,female,71,GSTM1,547.3352051,39.3655014
NCN004,female,71,GAA,557.6536865,213.4084625
NCN004,female,71,RALB,212.8934479,249.9335632
NCN004,female,71,COL6A3,86960.94531,24225.14063
NCN004,female,71,NQO1,104.6871414,16.42372894
NCN004,female,71,DSP,34915.9375,10169.59766
NCN004,female,71,FLNA,6737.748047,7098.197266
NCN004,female,71,TNXB,7022.783691,3609.229736
NCN004,female,71,FDXR,437.7315674,137.6939087
NCN004,female,71,PSMB9,315.0797119,69.06355286
NCN004,female,71,ATIC,481.5321655,304.0049133
NCN004,female,71,YWHAB,2657.07959,6440.685547
NCN004,female,71,PRDX2,2140.218506,921.7971191
NCN004,female,71,FBN1,6138.830566,4142.686035
NCN004,female,71,TIMP3,394.639801,121.3418961
NCN004,female,71,GPX4,542.8010864,267.1296997
NCN004,female,71,TSFM,318.1556091,127.6153564
NCN004,female,71,ACADSB,108.4905472,104.5101776
NCN004,female,71,GSTM5,156.791153,648.0740967
NCN004,female,71,LGALS7B,60663.94531,20105.94727
NCN004,female,71,LGALS7,60663.94531,20105.94727
NCN004,female,71,SERPINB8,2135.710449,1475.907959
NCN004,female,71,EPPK1,4129.317383,5599.59668
NCN004,female,71,S100A10,29039.86328,4853.696777
NCN004,female,71,RPS8,2512.172607,1964.688843
NCN004,female,71,RPS27A,526.6643066,8999.768555
NCN004,female,71,TUBB4B,2715.871582,10762.19238
NCN004,female,71,HBB,125365.9375,16029.2666
NCN004,female,71,PRKDC,265.0181885,477.3460083
NCN004,female,71,HSPG2,571.9805908,1535.886108
NCN004,female,71,SPTBN1,405.9061279,1022.883728
NCN004,female,71,AHNAK,7532.555176,4373.509766
NCN004,female,71,CNTN1,350.8674011,99.83956146
NCN004,female,71,SGCG,92.44313049,23.42967987
NCN004,female,71,STIM1,606.0864258,92.42799377
NCN004,female,71,SPTAN1,3616.763428,2469.762451
NCN004,female,71,PKP1,24667.86719,12105.6377
NCN004,female,71,DYNC1H1,1125.492554,3943.067139
NCN004,female,71,PLEC,3103.298096,4822.473145
NCN004,female,71,ELOC,197.1399994,122.5351257
NCN004,female,71,QPCT,552.078125,211.9220581
NCN004,female,71,HSP90AB4P,275.7520142,70.21118927
NCN004,female,71,CAVIN1,3309.345703,883.9163208
NCN004,female,71,PLBD1,513.6273193,249.1904602
NCN004,female,71,DGAT2L6,16.04500961,14.49739552
NCN004,female,71,DGLUCY,340.9224243,138.8850555
NCN004,female,71,TMEM179B,94.99091339,65.74668884
NCN004,female,71,STING1,270.6817627,100.4944305
NCN004,female,71,AHNAK2,7414.15918,2283.41626
NCN004,female,71,CMTR1,35.70505524,27.06651115
NCN004,female,71,PTGR3,33.53660583,44.23512268
NCN004,female,71,DDB2,264.7908936,88.60433197
NCN004,female,71,ARL8A,133.6184235,230.6590118
NCN004,female,71,PTER,365.6426392,44.68996429
NCN004,female,71,MMAB,237.5248413,71.48159027
NCN004,female,71,PDLIM2,569.3981934,196.6673431
NCN004,female,71,HNRNPAB,1179.151611,441.598938
NCN004,female,71,CPNE1,879.7067871,452.0948181
NCN004,female,71,TREX2,337.6256409,51.89195633
NCN004,female,71,AAMDC,263.2685852,112.0467072
NCN004,female,71,FN3KRP,205.1713562,59.20414734
NCN004,female,71,PLGRKT,216.1365814,59.56486511
NCN004,female,71,CZIB,78.92510986,24.47118759
NCN004,female,71,ERAP1,442.1332397,227.6730652
NCN004,female,71,COPG2,172.7967682,38.10139084
NCN004,female,71,NIPSNAP3A,706.8052979,365.2314453
NCN004,female,71,COG6,10.24427223,16.00105286
NCN004,female,71,CRYBG1,179.3539124,392.6014404
NCN004,female,71,ATP6V1D,445.9102173,132.8672028
NCN004,female,71,SQOR,1238.573242,889.057312
NCN005,male,36,FLNB,238.3612976,3232.059326
NCN005,male,36,NDUFB1,456.0384521,48.58852768
NCN005,male,36,H6PD,308.5811462,593.6018677
NCN005,male,36,F12,292.3159485,137.921814
NCN005,male,36,CSTA,3521.680176,2499.380859
NCN005,male,36,IGKC,137564.9531,740.4024658
NCN005,male,36,IGHG3,2234.806885,2501.05249
NCN005,male,36,IGHM,5860.261719,5543.759766
NCN005,male,36,IGHA1,14384.69922,8224.117188
NCN005,male,36,HBD,49122.97266,14121.60547
NCN005,male,36,COL1A1,59312.41406,69835.96094
NCN005,male,36,KRT6A,6843.501953,36026.62891
NCN005,male,36,APOC1,2478.537109,603.149353
NCN005,male,36,GBA1,140.2939453,166.0207672
NCN005,male,36,APOB,10869.22461,1855.147095
NCN005,male,36,KRT6B,2281.922852,12368.5293
NCN005,male,36,ARG1,106.4873962,56.14398575
NCN005,male,36,ALDH2,1960.548584,770.47052
NCN005,male,36,POLB,3.812470913,35.91608429
