gene_id,tissue,beta,pvalue,sig_pt,condition,gene_name
P00748,Colon,0.258041,0.0061153,3.54E-06,AfterCondition,F12
P00748,Heart,0.258041,0.0061153,3.54E-06,AfterCondition,F12
P00748,Liver,0.258041,0.0061153,3.54E-06,AfterCondition,F12
P00748,Lung,0.485171,3.07E-09,3.54E-06,AfterCondition,F12
P00748,Skin,0.485171,3.07E-09,3.54E-06,BeforeCondition,F12
P00748,Thyroid,0.258041,0.0061153,3.54E-06,AfterCondition,F12
P00748,Plasma,0.258041,0.0061153,3.54E-06,AfterCondition,F12
P01860,Colon,0.6192,2.23E-07,1.08E-05,AfterCondition,IGHG3
P01860,Heart,0.6192,2.23E-07,1.08E-05,AfterCondition,IGHG3
P01860,Liver,0.6192,2.23E-07,1.08E-05,AfterCondition,IGHG3
P01860,Lung,0.6192,2.23E-07,1.08E-05,AfterCondition,IGHG3
P01860,Skin,0.6192,2.23E-07,1.08E-05,BeforeCondition,IGHG3
P01860,Thyroid,0.6192,2.23E-07,1.08E-05,AfterCondition,IGHG3
P01860,Plasma,0.6192,2.23E-07,1.08E-05,AfterCondition,IGHG3
P02008,Colon,-0.737408,1.21E-09,4.08E-06,AfterCondition,HBZ
P02008,Heart,-0.737408,1.21E-09,4.08E-06,AfterCondition,HBZ
P02008,Liver,-0.737408,1.21E-09,4.08E-06,AfterCondition,HBZ
P02008,Lung,-0.428435,0.00896153,4.08E-06,AfterCondition,HBZ
P02008,Skin,-0.737408,1.21E-09,4.08E-06,BeforeCondition,HBZ
P02008,Thyroid,-0.737408,1.21E-09,4.08E-06,AfterCondition,HBZ
P02008,Plasma,-0.428435,0.00896153,4.08E-06,AfterCondition,HBZ
P05089,Colon,-0.666973,5.42E-10,4.25E-06,AfterCondition,ARG1
P05089,Heart,-0.666973,5.42E-10,4.25E-06,AfterCondition,ARG1
P05089,Liver,-0.666973,5.42E-10,4.25E-06,AfterCondition,ARG1
P05089,Lung,-0.666973,5.42E-10,4.25E-06,AfterCondition,ARG1
P05089,Skin,-0.666973,5.42E-10,4.25E-06,BeforeCondition,ARG1
P05089,Thyroid,-0.666973,5.42E-10,4.25E-06,AfterCondition,ARG1
P05089,Plasma,-0.301776,0.0137693,4.25E-06,AfterCondition,ARG1
P05091,Colon,-1.18034,2.76E-17,1.03E-05,AfterCondition,ALDH2
P05091,Heart,-1.11615,9.81E-14,1.03E-05,AfterCondition,ALDH2
P05091,Liver,-1.18034,2.76E-17,1.03E-05,AfterCondition,ALDH2
P05091,Lung,-1.18034,2.76E-17,1.03E-05,AfterCondition,ALDH2
P05091,Skin,-1.18034,2.76E-17,1.03E-05,BeforeCondition,ALDH2
P05091,Thyroid,-1.18034,2.76E-17,1.03E-05,AfterCondition,ALDH2
P05091,Plasma,-1.18034,2.76E-17,1.03E-05,AfterCondition,ALDH2
P07476,Colon,-0.496176,4.14E-08,5.01E-06,AfterCondition,IVL
P07476,Heart,-0.496176,4.14E-08,5.01E-06,AfterCondition,IVL
P07476,Liver,-0.496176,4.14E-08,5.01E-06,AfterCondition,IVL
P07476,Lung,-0.496176,4.14E-08,5.01E-06,AfterCondition,IVL
P07476,Skin,-0.496176,4.14E-08,5.01E-06,BeforeCondition,IVL
P07476,Thyroid,-0.496176,4.14E-08,5.01E-06,AfterCondition,IVL
P07476,Plasma,-0.496176,4.14E-08,5.01E-06,AfterCondition,IVL
P08637,Colon,-0.503035,1.08E-07,3.35E-06,AfterCondition,FCGR3A
P08637,Heart,-0.503035,1.08E-07,3.35E-06,AfterCondition,FCGR3A
P08637,Liver,-0.503035,1.08E-07,3.35E-06,AfterCondition,FCGR3A
P08637,Lung,-0.503035,1.08E-07,3.35E-06,AfterCondition,FCGR3A
P08637,Skin,-0.503035,1.08E-07,3.35E-06,BeforeCondition,FCGR3A
P08637,Thyroid,-0.503035,1.08E-07,3.35E-06,AfterCondition,FCGR3A
P08637,Plasma,-0.503026,2.82E-07,3.35E-06,AfterCondition,FCGR3A
P09488,Colon,1.1673,2.95E-13,3.32E-06,AfterCondition,GSTM1
P09488,Heart,1.1673,2.95E-13,3.32E-06,AfterCondition,GSTM1
P09488,Liver,1.1673,2.95E-13,3.32E-06,AfterCondition,GSTM1
P09488,Lung,1.1673,2.95E-13,3.32E-06,AfterCondition,GSTM1
P09488,Skin,1.1673,2.95E-13,3.32E-06,BeforeCondition,GSTM1
P09488,Thyroid,1.1673,2.95E-13,3.32E-06,AfterCondition,GSTM1
P09488,Plasma,1.10396,5.09E-10,3.32E-06,AfterCondition,GSTM1
P10253,Colon,-0.870679,4.39E-11,1.61E-06,AfterCondition,GAA
P10253,Heart,-0.866514,1.25E-11,1.61E-06,AfterCondition,GAA
P10253,Liver,-0.866514,1.25E-11,1.61E-06,AfterCondition,GAA
P10253,Lung,-0.866514,1.25E-11,1.61E-06,AfterCondition,GAA
P10253,Skin,-0.866514,1.25E-11,1.61E-06,BeforeCondition,GAA
P10253,Thyroid,-0.866514,1.25E-11,1.61E-06,AfterCondition,GAA
P10253,Plasma,-0.864221,6.09E-11,1.61E-06,AfterCondition,GAA
P22570,Colon,0.288805,0.00301704,2.17E-06,AfterCondition,FDXR
P22570,Heart,0.288805,0.00301704,2.17E-06,AfterCondition,FDXR
P22570,Liver,-0.616602,1.99E-11,2.17E-06,AfterCondition,FDXR
P22570,Lung,0.288805,0.00301704,2.17E-06,AfterCondition,FDXR
P22570,Skin,-0.616602,1.99E-11,2.17E-06,BeforeCondition,FDXR
P22570,Thyroid,0.288805,0.00301704,2.17E-06,AfterCondition,FDXR
P22570,Plasma,-0.616602,1.99E-11,2.17E-06,AfterCondition,FDXR
P31939,Colon,0.60786,0.000880422,4.39E-06,AfterCondition,ATIC
P31939,Heart,0.60786,0.000880422,4.39E-06,AfterCondition,ATIC
P31939,Liver,0.618052,1.11E-07,4.39E-06,AfterCondition,ATIC
P31939,Lung,0.643078,1.09E-08,4.39E-06,AfterCondition,ATIC
P31939,Skin,0.643078,1.09E-08,4.39E-06,BeforeCondition,ATIC
P31939,Thyroid,0.647128,0.000398517,4.39E-06,AfterCondition,ATIC
P31939,Plasma,0.643078,1.09E-08,4.39E-06,AfterCondition,ATIC
P36969,Colon,-0.632997,1.48E-06,1.43E-06,AfterCondition,GPX4
P36969,Heart,-0.697552,2.55E-08,1.43E-06,AfterCondition,GPX4
P36969,Liver,-0.632997,1.48E-06,1.43E-06,AfterCondition,GPX4
P36969,Lung,-0.697552,2.55E-08,1.43E-06,AfterCondition,GPX4
P36969,Skin,-0.697552,2.55E-08,1.43E-06,BeforeCondition,GPX4
P36969,Thyroid,-0.697552,2.55E-08,1.43E-06,AfterCondition,GPX4
P36969,Plasma,-0.697552,2.55E-08,1.43E-06,AfterCondition,GPX4
P45954,Colon,0.865415,1.40E-08,2.05E-06,AfterCondition,ACADSB
P45954,Heart,0.865415,1.40E-08,2.05E-06,AfterCondition,ACADSB
P45954,Liver,0.865415,1.40E-08,2.05E-06,AfterCondition,ACADSB
P45954,Lung,0.865415,1.40E-08,2.05E-06,AfterCondition,ACADSB
P45954,Skin,0.865415,1.40E-08,2.05E-06,BeforeCondition,ACADSB
P45954,Thyroid,0.865415,1.40E-08,2.05E-06,AfterCondition,ACADSB
P45954,Plasma,0.849824,5.65E-08,2.05E-06,AfterCondition,ACADSB
P46060,Colon,-0.474809,1.17E-06,1.31E-05,AfterCondition,RANGAP1
P46060,Heart,-0.474809,1.17E-06,1.31E-05,AfterCondition,RANGAP1
P46060,Liver,-0.474809,1.17E-06,1.31E-05,AfterCondition,RANGAP1
P46060,Lung,-0.474809,1.17E-06,1.31E-05,AfterCondition,RANGAP1
P46060,Skin,-0.474809,1.17E-06,1.31E-05,BeforeCondition,RANGAP1
P46060,Thyroid,-0.474809,1.17E-06,1.31E-05,AfterCondition,RANGAP1
P46060,Plasma,-0.474809,1.17E-06,1.31E-05,AfterCondition,RANGAP1
P50452,Colon,-0.555231,1.80E-09,2.48E-06,AfterCondition,SERPINB8
P50452,Heart,-0.555231,1.80E-09,2.48E-06,AfterCondition,SERPINB8
P50452,Liver,0.35215,0.00340889,2.48E-06,AfterCondition,SERPINB8
P50452,Lung,-0.555231,1.80E-09,2.48E-06,AfterCondition,SERPINB8
P50452,Skin,-0.555231,1.80E-09,2.48E-06,BeforeCondition,SERPINB8
P50452,Thyroid,-0.555231,1.80E-09,2.48E-06,AfterCondition,SERPINB8
P50452,Plasma,0.35215,0.00340889,2.48E-06,AfterCondition,SERPINB8
Q12860,Colon,0.465664,2.19E-07,6.07E-06,AfterCondition,CNTN1
