pro_id,rho_age,rho_p_age,rho_p_adj,gene_name
O00203,-0.393460764587525,0.000753140849435644,0.035320526765659,AP3B1
O00625,-0.411670020120724,0.000404682849290332,0.0248483613440538,PIR
O14684,0.459657947686117,6.66865118173205e-05,0.00794369728767922,PTGES
O15247,0.502213279678068,1.08024520162328e-05,0.00207546465189299,CLIC2
O15296,-0.404091213950369,0.000526182913682879,0.0290171736251291,ALOX15B
O43405,-0.440744466800805,0.000139853097825405,0.0124323141887778,COCH
O43432,-0.398625083836351,0.000633610527526739,0.032815515669124,EIF4G3
O43464,0.391951710261569,0.000791760373395659,0.0356141519183436,HTRA2
O43760,0.414419852448021,0.000367382047366873,0.0237839942838815,SYNGR2
O43895,0.494701542588866,1.51388849904011e-05,0.00252714112630451,XPNPEP2
O75179,-0.45355466130114,8.50635685813786e-05,0.00860989039200078,ANKRD17
O75339,0.631187122736418,6.78655927705962e-09,4.49119411712968e-06,CILP
O75888,0.480784708249497,2.77678613182507e-05,0.00396922745605932,TNFSF13
O75964,0.389771965124078,0.000850734628409106,0.0372571724029753,ATP5MG
O94769,-0.558752515090543,6.70059766766287e-07,0.000190041712898095,ECM2
O94788,0.380851777330651,0.00113608180632302,0.0454013235551422,ALDH1A2
O94925,0.382595573440644,0.0010742673526186,0.0444328913346971,GLS
O94979,-0.450268276324614,9.68054044835707e-05,0.00960954981840245,SEC31A
O95302,-0.435244802146211,0.000172170373244404,0.0144429118738545,FKBP9
O95715,0.583065057008719,1.75635626470278e-07,6.5380361953561e-05,CXCL14
O95721,0.445539906103286,0.000116351120021814,0.0108279261070301,SNAP29
O95864,-0.42028839704896,0.000298098909502888,0.0204077828160828,FADS2
P00325,0.454627766599598,8.15251984246898e-05,0.00851866810206057,ADH1B
P00395,0.395975855130785,0.000692573557058901,0.0343747342153568,MT-CO1
P01009,0.420992622401073,0.000290646599282938,0.020250763952792,SERPINA1
P02452,-0.664822266934943,0,0,COL1A1
P02461,-0.554862508383635,8.22937024807267e-07,0.000205669787369788,COL3A1
P02511,0.444835680751174,0.000119556604862018,0.0109550636701258,CRYAB
P02649,0.396780684104628,0.000674151952983664,0.0337415885039555,APOE
P02741,0.540140845070423,1.75619981700028e-06,0.000418397044402147,CRP
P02743,0.838195841716969,0,0,APCS
P02748,0.588397048960429,1.2905362853291e-07,5.12428941028008e-05,C9
P02750,0.581120053655265,1.96243113832931e-07,6.87543521169963e-05,LRG1
P02760,0.427397719651241,0.000230316490738546,0.0179934622161442,AMBP
P02763,0.394332662642522,0.000731617980410118,0.0351412636396989,ORM1
P04179,0.419517102615694,0.000306462222042052,0.0207419203918462,SOD2
P04278,0.476827632461435,3.28524247210777e-05,0.00436053958954317,SHBG
P05156,0.386384976525822,0.000950341135514857,0.0404302271651892,CFI
P07237,-0.448423876592891,0.000104036130415257,0.00999418052827856,P4HB
P08123,-0.618678739101274,1.87267072826254e-08,1.11536268575317e-05,COL1A2
P08708,-0.392588866532528,0.000775239442876881,0.0356141519183436,RPS17
P09486,-0.405030181086519,0.000509502704018512,0.0283607299545258,SPARC
P0C7P4,0.401911468812877,0.000566847987605096,0.0301441661979996,UQCRFS1P1
P0DJI8,0.409389671361502,0.000438215271124863,0.0263637389375726,SAA1
P10301,0.430114017437961,0.000208404291203788,0.0167737291676995,RRAS
P10643,0.555197853789403,8.08556700176975e-07,0.000205669787369788,C7
P11532,0.381958417169685,0.00109649012489756,0.045039277130275,DMD
P15090,0.426425217974514,0.000238664122746036,0.0179934622161442,FABP4
P17936,-0.433836351441985,0.000181489309937244,0.0150131990275865,IGFBP3
P17948,-0.426592890677398,0.000237205285491922,0.0179934622161442,FLT1
P18428,0.47374245472837,3.74053294900594e-05,0.00474013069027221,LBP
P20742,0.474279007377599,3.65734805580342e-05,0.00473547065660112,PZP
P20908,-0.499128101945003,1.24193141585639e-05,0.00224149803419414,COL5A1
P21333,0.402816901408451,0.000549619671020139,0.0297594069145086,FLNA
P21589,0.798390342052314,0,0,NT5E
P22090,-0.390576794097921,0.000828509036141031,0.036552591253748,RPS4Y1
P22897,0.476760563380282,3.2945648342754e-05,0.00436053958954317,MRC1
P23458,0.444164989939638,0.00012268523867475,0.0110714133567699,JAK1
P24310,0.412173038229376,0.000397610208276818,0.0248483613440538,COX7A1
P26022,0.483735747820255,2.44649931953503e-05,0.00364283748678766,PTX3
P27338,0.523977196512408,3.89928844191483e-06,0.000860154146668323,MAOB
P29762,-0.38430583501006,0.00101662452354622,0.042943373491073,CRABP1
P30049,0.39560697518444,0.000701169312763391,0.0345137555935434,ATP5F1D
P32004,0.387692823608317,0.000910686049736927,0.0393046819727039,L1CAM
P35270,0.447887323943662,0.000106231681803884,0.0100431094733958,SPR
P35442,0.435311871227364,0.000171737830639889,0.0144429118738545,THBS2
