disease,pro_id,nsnps,PP.H0.abf_r1,PP.H1.abf_r1,PP.H2.abf_r1,PP.H3.abf_r1,PP.H4.abf_r1
ad_eur,P17174,3470,0.6,0.3,0,0,0
ad_eur,Q9NTM9,3215,0.6,0.2,0.1,0,0
ad_eur,Q6XZF7,2874,0.7,0.2,0.1,0,0
ad_eur,P15169,2766,0.7,0.2,0.1,0,0
ad_eur,O75477,2825,0.7,0.2,0.1,0,0
ad_eur,Q69YN2,2797,0.7,0.2,0.1,0,0
ad_eur,Q6QNY1,2779,0.5,0.3,0.1,0.1,0
ad_eur,O95169,2700,0.7,0.2,0.1,0,0
ad_eur,Q9NWT6,2686,0.7,0.2,0.1,0,0
ad_eur,Q8N983,2269,0.7,0.2,0.1,0,0
ad_eur,Q9BWM7,2266,0.7,0.2,0.1,0,0
ad_eur,Q9BZE4,3499,0.7,0.2,0,0,0
ad_eur,Q13907,3800,0.6,0.3,0,0,0
ad_eur,Q9Y2I8,3807,0.7,0.3,0,0,0
ad_eur,O60502,2139,0.8,0.2,0,0,0
ad_eur,Q5T2E6,2443,0.7,0.2,0,0,0
ad_eur,Q92538,2412,0.8,0.2,0,0,0
ad_eur,P61163,2219,0.8,0.2,0,0,0
ad_eur,P36405,2377,0.7,0.2,0,0,0
ad_eur,Q96B45,2498,0.7,0.2,0,0,0
ad_eur,P49902,2922,0.7,0.2,0.1,0,0
ad_eur,Q96IX5,2980,0.7,0.2,0.1,0,0
ad_eur,Q14690,2980,0.7,0.2,0.1,0,0
ad_eur,Q9HA72,3010,0.7,0.2,0.1,0,0
ad_eur,Q9H2G2,2843,0.7,0.2,0.1,0,0
ad_eur,Q9UMD9,2792,0.7,0.2,0.1,0,0
ad_eur,P78417,2834,0.7,0.2,0.1,0,0
ad_eur,Q8IWB1,2796,0.7,0.2,0.1,0,0
ad_eur,Q96DC8,4154,0.6,0.3,0.1,0,0
ad_eur,Q9NQW7,3560,0.6,0.2,0.1,0,0
ad_eur,Q9UEY8,3538,0.7,0.2,0.1,0,0
ad_eur,O75940,3273,0.7,0.2,0.1,0,0
ad_eur,Q9UQE7,3596,0.7,0.2,0.1,0,0
ad_eur,Q53EL6,3495,0.7,0.2,0.1,0,0
ad_eur,Q9UQ13,3527,0.6,0.3,0.1,0,0
ad_eur,Q9HAU5,4556,0.6,0.3,0.1,0,0
ad_eur,Q96HY7,4633,0.6,0.3,0.1,0,0
ad_eur,Q9ULC5,3049,0.7,0.2,0,0,0
ad_eur,Q9UKK9,4673,0.6,0.3,0.1,0,0
ad_eur,O75794,4672,0.6,0.3,0.1,0,0
ad_eur,Q14520,2974,0.7,0.2,0,0,0
ad_eur,Q8NBF2,3067,0.7,0.2,0,0,0
ad_eur,Q7Z3E2,3108,0.7,0.2,0.1,0,0
ad_eur,Q8N4X5,2973,0.7,0.2,0.1,0,0
ad_eur,Q8IU85,4827,0.6,0.3,0.1,0,0
ad_eur,O14639,2886,0.7,0.2,0.1,0,0
ad_eur,Q5W0V3,2775,0.7,0.2,0.1,0,0
ad_eur,O43301,3183,0.7,0.2,0.1,0,0
ad_eur,A0MZ66,3214,0.7,0.2,0.1,0,0
ad_eur,Q14152,3624,0.5,0.2,0.2,0.1,0
ad_eur,Q8TCE6,3642,0.5,0.2,0.2,0.1,0
ad_eur,P30048,3732,0.5,0.3,0.2,0.1,0
ad_eur,O43665,3778,0.5,0.2,0.2,0.1,0
ad_eur,Q01085,3835,0.5,0.2,0.2,0.1,0
ad_eur,O95817,3902,0.5,0.2,0.2,0.1,0
ad_eur,Q9Y6Y8,3942,0.5,0.2,0.2,0.1,0
ad_eur,Q9BZH6,4215,0.6,0.3,0,0,0
ad_eur,O95359,4685,0.6,0.3,0,0,0
ad_eur,Q96CV9,5362,0.6,0.3,0.1,0,0
ad_eur,Q9HB21,4368,0.6,0.3,0,0,0
ad_eur,Q92743,4318,0.7,0.3,0,0,0
ad_eur,P45954,4438,0.3,0.6,0,0.1,0
ad_eur,O43684,4224,0.7,0.3,0.1,0,0
ad_eur,Q8N436,4147,0.5,0.3,0.1,0.1,0
ad_eur,P04181,3876,0.6,0.2,0.1,0,0
ad_eur,Q9H008,3869,0.6,0.2,0.1,0.1,0
ad_eur,P49903,5454,0.6,0.3,0.1,0,0
ad_eur,Q5JPI9,3633,0.6,0.2,0.1,0,0
ad_eur,Q15018,3647,0.6,0.2,0.1,0,0
ad_eur,P56545,3704,0.6,0.2,0.1,0.1,0
ad_eur,P10746,3606,0.7,0.2,0.1,0,0
ad_eur,Q9P287,3607,0.6,0.3,0.1,0,0
ad_eur,Q14185,5063,0.6,0.3,0.1,0,0
ad_eur,P23469,4723,0.6,0.3,0.1,0,0
ad_eur,P16455,4014,0.6,0.2,0.1,0,0
ad_eur,O76003,4589,0.7,0.3,0.1,0,0
ad_eur,Q66LE6,4204,0.6,0.3,0.1,0,0
ad_eur,O14531,3869,0.7,0.2,0.1,0,0
ad_eur,Q14642,3237,0.7,0.3,0,0,0
ad_eur,Q9BSJ2,1777,0.9,0.1,0,0,0
ad_eur,P30084,1674,0.8,0.1,0,0,0
ad_eur,Q0VDF9,5048,0.5,0.3,0.1,0.1,0
ad_eur,Q9H8M7,3973,0.5,0.3,0.1,0.1,0
ad_eur,Q96BW5,4046,0.2,0.6,0,0.1,0
ad_eur,Q15404,3988,0.6,0.3,0.1,0,0
ad_eur,P08670,4438,0.6,0.3,0.1,0,0
ad_eur,Q92783,4460,0.6,0.3,0.1,0,0
ad_eur,P22897,4399,0.6,0.3,0.1,0,0
ad_eur,Q6UX71,4984,0.5,0.3,0.2,0.1,0
ad_eur,O76041,2610,0.7,0.2,0.1,0,0
ad_eur,Q01813,4616,0.3,0.2,0.3,0.2,0
ad_eur,Q9UBI1,1407,0.6,0.1,0.2,0,0
ad_eur,Q5JRX3,4524,0.3,0.1,0.4,0.2,0
ad_eur,P48426,1802,0.6,0.1,0.2,0,0
ad_eur,Q5T5P2,2976,0.7,0.2,0.1,0,0
ad_eur,Q8IYQ7,3431,0.7,0.2,0.1,0,0
ad_eur,Q8NEV4,4534,0.6,0.3,0.1,0,0
ad_eur,Q7Z5R6,4738,0.6,0.3,0.1,0,0
ad_eur,Q8IZP0,4838,0.6,0.3,0.1,0,0
ad_eur,Q96TA2,4846,0.6,0.3,0.1,0,0
ad_eur,Q5T8D3,4975,0.6,0.3,0.1,0,0
ad_eur,Q9NP72,4821,0.6,0.3,0.1,0,0
ad_eur,Q5T2T1,4259,0.6,0.3,0.1,0,0
ad_eur,O95425,4789,0.5,0.3,0.1,0.1,0
ad_eur,Q8IWW6,3225,0.8,0.2,0,0,0
ad_eur,P33176,3276,0.8,0.2,0,0,0
ad_eur,P05556,3827,0.7,0.2,0,0,0
ad_eur,O14786,3726,0.7,0.3,0,0,0
ad_eur,Q8TEW0,2738,0.8,0.2,0,0,0
ad_eur,Q13617,2754,0.7,0.2,0.1,0,0
ad_eur,Q8ND76,2752,0.7,0.2,0.1,0,0
ad_eur,Q04828,5041,0.6,0.3,0.1,0,0
ad_eur,P52895,4991,0,0,0.6,0.3,0
ad_eur,P42330,5060,0,0,0.7,0.3,0.1
ad_eur,P52597,4669,0.6,0.3,0.1,0,0
ad_eur,P48061,4649,0.7,0.3,0,0,0
ad_eur,P09917,3298,0.7,0.2,0.1,0,0
ad_eur,Q9NZT1,5463,0,0,0.6,0.3,0
ad_eur,P27482,5470,0,0,0.6,0.3,0
ad_eur,Q5VT79,1636,0.8,0.2,0.1,0,0
ad_eur,P13928,753,0.9,0.1,0,0,0
ad_eur,Q6ZS81,2540,0.7,0.2,0,0,0
ad_eur,P50395,5665,0,0,0.6,0.3,0
ad_eur,Q641Q2,2870,0.8,0.2,0,0,0
ad_eur,Q13976,3093,0.7,0.2,0.1,0,0
ad_eur,Q96I25,5211,0,0,0.6,0.3,0
ad_eur,Q16875,5156,0,0,0.3,0.7,0
ad_eur,P11226,4929,0.3,0.2,0.2,0.2,0
ad_eur,Q9NZ45,2928,0.7,0.2,0,0,0
ad_eur,Q00059,2913,0.7,0.3,0,0,0
ad_eur,Q16204,3171,0.6,0.3,0.1,0,0
ad_eur,Q12955,3422,0.5,0.2,0.2,0.1,0
ad_eur,Q96SZ5,3085,0,0,0.7,0.2,0.1
ad_eur,Q86UX2,3979,0,0,0.7,0.3,0.1
ad_eur,P19823,3934,0,0,0.6,0.3,0.1
ad_eur,Q5GLZ8,3190,0,0,0.7,0.2,0.1
ad_eur,P31942,3185,0,0,0.7,0.2,0
ad_eur,P30039,3183,0,0,0.7,0.2,0.1
ad_eur,Q8WXA3,3280,0,0,0.7,0.2,0.1
ad_eur,Q8IX12,3718,0,0,0.7,0.2,0.1
ad_eur,P36542,3975,0,0,0.7,0.3,0.1
ad_eur,Q9BQ39,3946,0,0,0.6,0.2,0.1
ad_eur,Q9NR30,3956,0.1,0,0.6,0.2,0
ad_eur,Q96EK5,4024,0.1,0,0.6,0.3,0
ad_eur,P10124,4099,0.1,0.1,0.5,0.2,0
ad_eur,O75436,4110,0.4,0.1,0.3,0.1,0
ad_eur,Q8IYB8,4022,0.7,0.3,0,0,0
ad_eur,Q2TB90,3947,0.7,0.2,0,0,0
ad_eur,P19367,3900,0.6,0.4,0,0,0
ad_eur,Q9P0M6,4384,0.6,0.3,0.1,0,0
ad_eur,Q9NR31,4322,0.7,0.3,0.1,0,0
ad_eur,Q15181,4281,0.7,0.3,0.1,0,0
