gene_id,NC005,NC012,NC013,NC026,NC028,NC032,NC033,NC034,NC035,NC036,NC040,NC041,NC042,NC043,NC046,NC047,NC048,NC050,NC054,NC055,NC056,NC057,NC059,NC060,NC063,NC064,NC067,NC068,NC069,NC070,NC073,NC075,NC077,NC078,NC079,NC080,NC081,NC084,NC085,NC086,NC087,NC089,NC090,NC091,NC093,NC094,NC095,NC096,NC101
ENSG00000282222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282221,0.707052,1.386814,0.583529,1.23469,1.128547,0,1.012957,0.304689,1.16181,1.668706,0.149519,1.277647,1.463705,1.32294,1.060463,1.21109,1.055591,1.864979,0.706021,1.423116,1.618111,1.26639,1.149772,0.932458,0.77003,1.484026,0.400258,2.79376,0.898311,0.704907,0.606346,1.593686,1.906554,1.182457,1.979917,0.966764,1.775991,2.288888,0.752647,1.352089,0.607104,1.205462,2.305539,0.569537,1.30096,0.592153,1.701487,0.931247,1.002644
ENSG00000234034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212040,0,0.07489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377787,0,0.145805,0,0,0,0,0,0.078006,0,0,0.151947,0.179212,0,0.067331,0,0.167733,0,0,0,0,0.194388,0,0,0,0,0,0,0,0,0
ENSG00000110514,8.93308540521157,9.67181152103753,6.51298408223763,6.57209752773129,6.04133088226154,3.57676345254602,3.49612271503705,4.20249762933301,6.63115715921587,6.8247046471432,4.13257802139613,10.2019065762611,7.18738859729859,7.30316373487927,8.88549595075305,6.13525673213005,5.49668245326321,8.56694423344489,4.5384562669137,8.78824294872101,10.0105571143916,10.868799509682,6.03337679847,9.5901168003825,9.0266758422185,8.75848004028209,5.75913128878795,5.9104487208941,5.0106836368635,6.65746380181688,4.34150955713603,7.74488271527612,6.58647253502271,4.92622097418121,6.29988457494621,6.22344639684437,8.75030101075783,7.81211194071241,11.0310298228544,10.7249550925173,8.78202567487449,8.81357037162324,10.5961065151805,6.57959160698064,6.25099397776715,8.1581721760698,9.51073945792493,9.12561920224719,6.76176620021516
ENSG00000086015,4.1593926484256,3.06444693981717,2.38365204977146,2.05581707795835,2.63432564461656,2.15542145187913,1.62915310246318,1.53973200863382,2.80188433125952,2.83905975837989,1.41824992051803,2.64564951345861,2.31968613915693,3.28806617432707,3.11525654570848,1.81074912823768,1.59148096470289,3.65300096457593,2.57978519832402,4.00233823920772,2.41868584903504,2.73441772905028,3.07322753339259,2.71514999339766,2.54786416239208,4.31455599111224,9.56457825292027,2.22395207122905,2.17940238560183,2.33560152513966,2.71438114639411,5.42200732376841,3.51236511312849,2.67993316163027,2.77941956221432,2.42832658608431,3.0014393706196,2.85865419045201,3.51379715883697,4.10202106843575,3.3830542337481,3.34654972854241,2.89766203224987,2.02611386211275,1.94412407097511,2.7456805916709,4.56322581005587,3.84714509078212,2.51160141213814
ENSG00000211769,0,0.132434,0.390129,0.159859,0.153566,0.684962,0,0,0,0.257477,0,0,0,0.139602,1.304603,0,0,0,0,0,0,0,0.785504,0.091247,0,0,0,0,0.330706,1.302682,0,0.295332,0.389782,0,0.153756,0,0,0,0,0,0,0,0.325203,0.194299,0,0,0.12161,0,0
ENSG00000211768,0,0,0,0,0.153566,0,0.513734,0,0,0,0,0,0,0.144327,0,0,0.701205,0,0,0.18666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105621,0,0,0,0,0,1.21988,0,0.212554,0.397764,0,0,0,0
ENSG00000255071,0.207697,0.027529,0,0,0,0,0,0,0,0,0.002495,0,0.075372,0,0,0,0,0,0,0.190751,0,0,0.251207,0,0.194519,0,0,0,0.244804,0,0,0,0,0,0.033759,0.01339,0,0,0,0,0,0.037664,0,0,0,0,0,0,0
ENSG00000211767,0,0,0,0,0,0.218799,0,0,0.17471,0,0.467038,0,0.388152,0.676754,0,0.331386,0,0.185265,0,0.739022,0,0.169276,0,0.476721,0.373159,0.104083,0,0,0,0,0,0,0.787101,0,0.670933,0,0,0,0,0,0,0,0,0.796747,0.076216,0,0,0,0
ENSG00000211766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000211765,0,0.111169,0,1.207145,0.210777,0.411094,0,0,0,0.038612,0,0,0,0.070749,0,0.298491,0,0.145306,0,0,0,0,0,0.279904,0.774262,0,0.578438,0,0,0,0,0,0.154465,0,0,0,0.30912,0,0,0,0,0,0.173049,0,0,0,0,0,0
ENSG00000211764,0,0,0,0.157848,0,0.466965,0,0,0,0.169494,0,0,0,0.646037,0,0,0,0,0,0,0.213967,0,0.132474,0.204394,0.070629,0,0,0,0,0,0.526249,0,0,0,0.644096,0,0.055649,0,0,0,0,0.139415,0.283288,0,0.190927,0,0.155661,0,0
ENSG00000201510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169740,7.65899107054795,7.23035091438356,7.15594629520548,7.03171329931507,3.04640813013699,6.73618102328767,4.40717903493151,8.01341591164384,7.95447078835616,6.97751915273973,7.3708664369863,6.94806244246575,8.52050361232877,9.61225414863014,9.85321134794521,7.49294604589041,5.67559574246575,9.33854605410959,6.13441414589041,9.77915977054795,8.98179874726027,6.90650156027397,13.4824178856164,12.1323044869863,10.9441442979452,8.43242778219178,11.947126069863,11.0444042013699,6.41978417671233,9.55999457123288,6.35396427808219,10.0055843356164,7.24212990616438,11.7943425150685,11.4534389445205,8.85399249931507,8.24796009315068,9.92565225068493,7.04818229589041,9.39381367465753,12.095303139726,15.0782072465753,9.3283552760274,8.6565900369863,9.1121367260274,9.50447679383562,8.40081336369863,8.0656556260274,9.67877973287671
ENSG00000215869,0.0177699421487603,0,0,0.009755888429752,0,0,0.0350787190082645,0,0,0,0.0311015445009536,0.0349949380165289,0.0134346293706294,0.11376301366815,0,0.0069356404958677,0,0,0,0,0,0,0,0,0,0.0011288223140495,0.0228275985378258,0,0,0,0,0,0,0,0,0,0,0,0.0499607094723458,0.113421694214876,0,0.008142561983471,0,0.0233024300699301,0,0.032834194214876,0.0291929068658614,0,0
ENSG00000261609,53.2543596855079,111.011658376541,118.01955331173,68.3221916115597,61.6543706999575,52.2657035044624,26.6045513535912,90.2185620212495,70.6813789137271,42.2902885673608,81.3304250518487,99.4720578263918,97.7950450905227,75.5489342558436,89.7962229844879,106.151397152571,71.7550811468338,61.5356152428814,46.9475344224394,62.0609165529112,99.3518362328942,96.0129279653634,52.9300008085423,82.3589672673183,58.5112617730557,45.378854560136,3.0683959521887,48.9079503236294,48.5150154566511,82.4586582554186,45.6339744923502,61.2566019893753,67.8735271368466,71.2662895312367,74.6026492932427,72.7723485163621,67.4545534657884,75.2688121729707,79.784430918827,73.3724362775181,87.5191033654909,83.3356809296643,84.3914584749256,79.341255121972,49.7615781572461,91.906872119422,59.0881037671058,76.0049442350191,87.7581795291118
ENSG00000169744,3.73006544399633,1.63721885462878,2.36994162456462,1.07964827864345,0.336607456828598,3.88114425847846,6.72035219468378,1.391794140055,0.897528911640697,1.45423017800183,1.75517913675527,2.01652340513291,0.946651190834097,3.61706787369386,0.893157408615949,0.920297320073327,0.876237960036664,2.42315044729606,0.537644118423465,2.24170057983501,0.577761047479377,0.953950538955087,1.97209136223648,1.09885503941338,1.66715886452796,1.36230102933089,9.33012838056828,2.19481413712191,2.01006377451879,2.90263394958753,7.92517369000917,1.50036589972502,2.91641284821265,5.7187476223648,3.38157175948671,1.37442853052246,0.961626307791017,0.690734333638863,2.5064480883593,4.16382979010082,1.270468063978,6.52515218368469,2.42603914830431,1.36457217781852,0.958899182951421,0.343099560769936,2.97870149972502,2.51983693822182,2.4683870192484
ENSG00000261607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116277,0,0.012975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000261606,0.0636129049021051,0.0233438969527455,0.0470883309288974,0.0409399299278669,0.0686784189606948,0.0023850875901663,0,0,0.15987182982482,0.0705654774032092,0.039188763138525,0.0386644380980421,0.0384200158987193,0.023851664360371,0.0254104472250846,0.0354073151773885,0,0.0484200471073164,0.0161539419991167,0.0144537052848521,0.0271758062711615,0.0566704696010599,0.181073113057559,0.0393306857058737,0.0498250711026056,0.0228589948476373,0.0366152339172678,0,0.0394204180774326,0.0090246983659649,0,0.0722322791108494,0.050180665979685,0.165253268806124,0,0,0.0372822699838069,0.0177221863683203,0.0850012679228618,0.0754673251876932,0.0644170764021787,0.0203177924333873,0.0843394372147799,0.0259584260267923,0,0.0973455230384219,0.0555790262034447,0.0241488701604593,0.0392967672604151
ENSG00000215866,0.0319356509582155,0,0,0.0216399852340559,0,0,0,0,0.0574747995601634,0,0,0.0225457706566133,0,0,0,0,0,0,0,0.0162441328934967,0.0324757153628652,0.0332426107445806,0,0,0.0919062692428526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306207219604147,0.0545231391768772,0.0133684784794219,0,0.0121240458686773,0.0570336220546654,0.0229936632108074,0,0.0366776600691172,0.0130524536600691,0
ENSG00000261604,0,0,0,0,0,0.0088172146575891,0,0,0,0.0024194533440128,0.0193105226271526,0,0,0,0,0,0,0,0.0035070584701642,0,0,0,0.0040117140568682,0,0.0040959651581898,0.0032815378454145,0.0064598710452543,0,0.00910565278334,0.0139550460552663,0,0,0,0,0,0,0,0.0009233580296355,0,0,0,0,0,0,0,0,0.000697133360032,0,0.0050413588305967
ENSG00000261603,0.041661954679803,0,0,0.0355135704433498,0,0,0,0,0,0.0410514699507389,0,0,0.0366435960591133,0,0,0,0,0,0,0,0.0720304256157635,0,0,0,0,0,0.15349675862069,0,0,0,0,0.13585558817734,0,0,0.15517438226601,0,0,0,0,0,0,0,0.102812013793103,0,0,0,0.110419369458128,0,0
ENSG00000261602,0.195826,0.124966,0.41819,0.630966,1.756271,0.075789,0.736957,0.126499,0.128306,0.133012,0.369475,0.271502,0.200359,0.03958,0.189998,0.146745,4.434548,0.368132,0.925618,0.121474,0.057762,0.105958,0.020409,0.042922,0.079959,0.099091,0.066727,0.157825,0.39096,0.389387,0.08149,0.025688,0.043741,0.013355,0.02009,0.299715,0.033464,0.109113,0.104148,0.161905,0.30614,0.104969,0.117417,0.124915,0.05178,0.190015,0.135061,0.122815,0.102039
ENSG00000261600,0,0,0.373633,0,0.269323,0,0,0.333883,0,0,0,0.270473,0,0,0.134318,0,0,0,0,0,0,0.026531,0,0,0.129679,0.023458,0.121521,0.078668,0,0.987267,0,0.095538,0.088898,0,0.022873,0,0,0.109945,0.428726,0.02794,0,0,0,0.064903,0,0.42301,0,0,0
