pro_id	gene_id	pro_name	gene_name
A0A024R1R8	ENSG00000225528	TMA7B	TMA7B
A0A024RBG1	ENSG00000177144	NUD4B	NUDT4B
A0A075B6H7	ENSG00000282310	KV37	IGKV3-7
A0A075B6H7	ENSG00000243063	KV37	IGKV3-7
A0A075B6H8	ENSG00000211633	KVD42	IGKV1D-42
A0A075B6H9	ENSG00000211637	LV469	IGLV4-69
A0A075B6I0	ENSG00000211638	LV861	IGLV8-61
A0A075B6I1	ENSG00000211639	LV460	IGLV4-60
A0A075B6I3	ENSG00000211641	LVK55	IGLV11-55
A0A075B6I4	ENSG00000211642	LVX54	IGLV10-54
A0A075B6I6	ENSG00000211645	LV150	IGLV1-50
A0A075B6I7	ENSG00000211647	LV548	IGLV5-48
A0A075B6I9	ENSG00000211649	LV746	IGLV7-46
A0A075B6J1	ENSG00000281471	LV537	IGLV5-37
A0A075B6J1	ENSG00000211654	LV537	IGLV5-37
A0A075B6J2	ENSG00000281345	LV233	IGLV2-33
A0A075B6J2	ENSG00000211656	LV233	IGLV2-33
A0A075B6J6	ENSG00000211661	LV322	IGLV3-22
A0A075B6J9	ENSG00000211664	LV218	IGLV2-18
A0A075B6K0	ENSG00000211665	LV316	IGLV3-16
A0A075B6K2	ENSG00000211667	LV312	IGLV3-12
A0A075B6K4	ENSG00000211669	LV310	IGLV3-10
A0A075B6K5	ENSG00000211670	LV39	IGLV3-9
A0A075B6K6	ENSG00000211672	LV403	IGLV4-3
A0A075B6L2	ENSG00000211693	TVG11	TRGV11
A0A075B6L6	ENSG00000211714	TVB73	TRBV7-3
A0A075B6N1	ENSG00000211746	TVB19	TRBV19
A0A075B6N2	ENSG00000211747	TVBT1	TRBV20-1
A0A075B6N3	ENSG00000211750	TVBX1	TRBV24-1
A0A075B6N4	ENSG00000282499	TVBY1	TRBV25-1
A0A075B6P5	ENSG00000282025	KV228	IGKV2-28
A0A075B6P5	ENSG00000244116	KV228	IGKV2-28
A0A075B6Q5	ENSG00000274236	HV364	IGHV3-64
A0A075B6Q5	ENSG00000223648	HV364	IGHV3-64
A0A075B6R0	ENSG00000233306	TRGV2	TRGV2
A0A075B6R2	ENSG00000282223	HV404	IGHV4-4
A0A075B6R2	ENSG00000276775	HV404	IGHV4-4
A0A075B6R9	ENSG00000241566	KVD24	IGKV2D-24
A0A075B6S0	ENSG00000211690	TRGJ1	TRGJ1
A0A075B6S2	ENSG00000243264	KVD29	IGKV2D-29
A0A075B6S4	ENSG00000242766	KVD17	IGKV1D-17
A0A075B6S5	ENSG00000282666	KV127	IGKV1-27
A0A075B6S5	ENSG00000244575	KV127	IGKV1-27
A0A075B6S6	ENSG00000239571	KVD30	IGKV2D-30
A0A075B6S9	ENSG00000282394	KV137	IGKV1-37
A0A075B6S9	ENSG00000239862	KV137	IGKV1-37
A0A075B6T6	ENSG00000211789	TVAL2	TRAV12-2
A0A075B6T7	ENSG00000211780	TVA6	TRAV6
A0A075B6T8	ENSG00000211783	TVA91	TRAV9-1
A0A075B6U4	ENSG00000211781	TVA7	TRAV7
A0A075B6V5	ENSG00000211815	TVA36	TRAV36DV7
A0A075B6W5	ENSG00000211803	TVA23	TRAV23DV6
A0A075B6X5	ENSG00000211798	TVA18	TRAV18
A0A075B6Y3	ENSG00000211886	TJA3	TRAJ3
A0A075B6Y9	ENSG00000211847	TJA42	TRAJ42
A0A075B700	ENSG00000211858	TJA31	TRAJ31
A0A075B706	ENSG00000211825	TRDJ1	TRDJ1
A0A075B734	ENSG00000259916	AQP7B	AQP7B
A0A075B759	ENSG00000271567	PAL4E	PPIAL4E
A0A075B767	ENSG00000270339	PAL4H	PPIAL4H
A0A087WSX0	ENSG00000211650	LV545	IGLV5-45
A0A087WSY4	ENSG00000282404	HV432	IGHV4-31
A0A087WSY4	ENSG00000231475	HV432	IGHV4-31
A0A087WSY6	ENSG00000224041	KVD15	IGKV3D-15
A0A087WSZ0	ENSG00000239819	KVD08	IGKV1D-8
A0A087WSZ9	ENSG00000259092	TVA30	TRAV30
A0A087WT01	ENSG00000211809	TVA27	TRAV27
A0A087WT02	ENSG00000211793	TVA92	TRAV9-2
A0A087WT03	ENSG00000211807	TVAZ1	TRAV26-1
A0A087WTH1	ENSG00000281991	TM265	TMEM265
A0A087WUL8	ENSG00000271383	NBPFJ	NBPF19
A0A087WUV0	ENSG00000233757	ZN892	ZNF892
A0A087WV53	ENSG00000286095	SPEGN	SPEGNB
A0A087WV62	ENSG00000282415	TVB16	TRBV16
A0A087WV62	ENSG00000275243	TVB16	TRBV16
A0A087WVF3	ENSG00000274419	TBC3D	TBC1D3D
A0A087WW87	ENSG00000273962	KV240	IGKV2-40
A0A087WWA1	ENSG00000250719	P3URF	P3R3URF
A0A087WXM9	ENSG00000239642	MEIKN	MEIKIN
A0A087WXS9	ENSG00000275861	TBC3I	TBC1D3I
A0A087WXS9	ENSG00000282144	TBC3I	TBC1D3I
A0A087WXS9	ENSG00000274933	TBC3I	TBC1D3I
A0A087X0K7	ENSG00000282483	TVB17	TRBV17
A0A087X0K7	ENSG00000277880	TVB17	TRBV17
A0A087X0M5	ENSG00000276557	TVB18	TRBV18
A0A087X179	ENSG00000278599	TBC3E	TBC1D3E
A0A087X1C5	ENSG00000282837	CP2D7	CYP2D7
A0A087X1G2	ENSG00000273513	TBC3K	TBC1D3K
A0A096LNP1	ENSG00000225805	D131B	DEFB131B
A0A096LNW5	ENSG00000286106	NT2NR	NOTCH2NLR
A0A096LP01	ENSG00000232388	SIM26	SMIM26
A0A096LP49	ENSG00000260220	CC187	CCDC187
A0A096LP49-2	ENSG_CCDC187	CC187	CCDC187
A0A096LP55	ENSG00000233954	QCR6L	UQCRHL
A0A096LPI5	ENSG00000024862	GVQW2	CCDC28A
A0A096LPK9	ENSG00000279408	ORN4C	OR4N4C
A0A0A0MRZ7	ENSG00000211623	KVD26	IGKV2D-26
A0A0A0MRZ8	ENSG00000211632	KVD11	IGKV3D-11
A0A0A0MRZ9	ENSG00000211643	LV552	IGLV5-52
A0A0A0MS00	ENSG00000280866	LV332	IGLV3-32
A0A0A0MS00	ENSG00000211657	LV332	IGLV3-32
A0A0A0MS01	ENSG00000211694	TVG10	TRGV10
A0A0A0MS02	ENSG00000211701	TRGV1	TRGV1
A0A0A0MS03	ENSG00000211715	TVB53	TRBV5-3
A0A0A0MS04	ENSG00000282470	TVB67	TRBV6-7
A0A0A0MS04	ENSG00000253188	TVB67	TRBV6-7
A0A0A0MS05	ENSG00000282748	TVB57	TRBV5-7
A0A0A0MS05	ENSG00000211731	TVB57	TRBV5-7
A0A0A0MS06	ENSG00000282449	TVB23	TRBV23-1
A0A0A0MS06	ENSG00000211749	TVB23	TRBV23-1
