Protein_1,Protein_2,coregulation_score
A0A075B6I0,A0A075B6H7,5.19283148183338e-05
A0A075B6J1,A0A075B6H7,1.94748886622784e-05
A0A075B6J1,A0A075B6I0,1.9728855311292e-05
A0A075B6J9,A0A075B6H7,0.000734698495496172
A0A075B6J9,A0A075B6I0,4.23423245837732e-05
A0A075B6J9,A0A075B6J1,1.1683956692253e-05
A0A075B6K4,A0A075B6H7,0.00106064912272941
A0A075B6K4,A0A075B6I0,1.56960096653302e-05
A0A075B6K4,A0A075B6J1,1.90060079055006e-05
A0A075B6K4,A0A075B6J9,0.000193320176807608
A0A075B6K5,A0A075B6H7,0.00154777221756201
A0A075B6K5,A0A075B6I0,2.3501203815843e-05
A0A075B6K5,A0A075B6J1,9.42395611166076e-06
A0A075B6K5,A0A075B6J9,0.000244029800207208
A0A075B6K5,A0A075B6K4,0.00834466755633222
A0A075B6Q5,A0A075B6H7,4.00093411508446e-06
A0A075B6Q5,A0A075B6I0,1.03225359480401e-05
A0A075B6Q5,A0A075B6J1,7.23502347885318e-05
A0A075B6Q5,A0A075B6J9,3.69427437269403e-06
A0A075B6Q5,A0A075B6K4,7.04555789211122e-06
A0A075B6Q5,A0A075B6K5,4.31032846625729e-06
A0A075B6S2,A0A075B6H7,3.32084819484787e-05
A0A075B6S2,A0A075B6I0,2.47405612508086e-05
A0A075B6S2,A0A075B6J1,2.17460927506012e-05
A0A075B6S2,A0A075B6J9,3.38826684677983e-05
A0A075B6S2,A0A075B6K4,1.59780231976008e-05
A0A075B6S2,A0A075B6K5,8.14319381247435e-06
A0A075B6S2,A0A075B6Q5,1.64553177651257e-05
A0A087WSX0,A0A075B6H7,0.00103120909925363
A0A087WSX0,A0A075B6I0,5.3906578154421e-05
A0A087WSX0,A0A075B6J1,1.26895809932689e-05
A0A087WSX0,A0A075B6J9,0.000924142547255538
A0A087WSX0,A0A075B6K4,0.00141939086718629
A0A087WSX0,A0A075B6K5,0.000461758842436196
A0A087WSX0,A0A075B6Q5,4.90168184874867e-06
A0A087WSX0,A0A075B6S2,3.07432763977229e-05
A0A087WSY6,A0A075B6H7,0.00369861998534251
A0A087WSY6,A0A075B6I0,9.00598589859299e-05
A0A087WSY6,A0A075B6J1,2.23454682753015e-05
A0A087WSY6,A0A075B6J9,0.000239511196707083
A0A087WSY6,A0A075B6K4,0.000948797988750009
A0A087WSY6,A0A075B6K5,0.000634386735500157
A0A087WSY6,A0A075B6Q5,4.15844461943759e-06
A0A087WSY6,A0A075B6S2,1.20941042315456e-05
A0A087WSY6,A0A087WSX0,0.00208630263688161
A0A087WSZ0,A0A075B6H7,9.61389426530847e-05
A0A087WSZ0,A0A075B6I0,5.65406555266656e-05
A0A087WSZ0,A0A075B6J1,1.42238100294046e-05
A0A087WSZ0,A0A075B6J9,9.86058447633824e-05
A0A087WSZ0,A0A075B6K4,0.000146820656869639
A0A087WSZ0,A0A075B6K5,9.5322444118479e-05
A0A087WSZ0,A0A075B6Q5,8.0261700271878e-06
A0A087WSZ0,A0A075B6S2,2.97273102008747e-05
A0A087WSZ0,A0A087WSX0,5.65338045724812e-05
A0A087WSZ0,A0A087WSY6,0.000125162109813913
A0A0A0MS15,A0A075B6H7,0.00249575585412555
A0A0A0MS15,A0A075B6I0,8.02796869339706e-05
A0A0A0MS15,A0A075B6J1,1.8346537683238e-05
A0A0A0MS15,A0A075B6J9,0.000391053654860627
A0A0A0MS15,A0A075B6K4,0.00100849564690568
A0A0A0MS15,A0A075B6K5,0.000322504059581175
A0A0A0MS15,A0A075B6Q5,1.03939185674496e-05
A0A0A0MS15,A0A075B6S2,4.40445188300791e-05
A0A0A0MS15,A0A087WSX0,0.00156677814226544
A0A0A0MS15,A0A087WSY6,0.000673460861177079
A0A0A0MS15,A0A087WSZ0,0.000165449136279576
A0A0A0MT36,A0A075B6H7,8.28637979795747e-05
A0A0A0MT36,A0A075B6I0,2.33732075861115e-05
A0A0A0MT36,A0A075B6J1,9.21780680934525e-06
A0A0A0MT36,A0A075B6J9,2.59329344893426e-05
A0A0A0MT36,A0A075B6K4,4.77101720539989e-05
A0A0A0MT36,A0A075B6K5,0.000238168940164656
A0A0A0MT36,A0A075B6Q5,1.26057291642053e-05
A0A0A0MT36,A0A075B6S2,8.73511272699927e-06
A0A0A0MT36,A0A087WSX0,0.00020647482681814
A0A0A0MT36,A0A087WSY6,8.62714098147679e-05
A0A0A0MT36,A0A087WSZ0,3.71506241520439e-05
A0A0A0MT36,A0A0A0MS15,0.000238747455955506
A0A0B4J1U7,A0A075B6H7,3.83099755179174e-05
A0A0B4J1U7,A0A075B6I0,6.34691794241966e-05
A0A0B4J1U7,A0A075B6J1,4.79345715259069e-05
A0A0B4J1U7,A0A075B6J9,4.4996874482972e-05
A0A0B4J1U7,A0A075B6K4,5.37668342568591e-05
A0A0B4J1U7,A0A075B6K5,1.83221217176144e-05
A0A0B4J1U7,A0A075B6Q5,3.80865124216246e-05
A0A0B4J1U7,A0A075B6S2,3.09414559409892e-05
A0A0B4J1U7,A0A087WSX0,3.66540519193835e-05
A0A0B4J1U7,A0A087WSY6,4.47592430543311e-05
A0A0B4J1U7,A0A087WSZ0,4.63759306684601e-05
A0A0B4J1U7,A0A0A0MS15,8.13054473646755e-05
A0A0B4J1U7,A0A0A0MT36,2.70082319765174e-05
A0A0B4J1V0,A0A075B6H7,0.000832401268431508
A0A0B4J1V0,A0A075B6I0,6.9941564433549e-05
A0A0B4J1V0,A0A075B6J1,1.02400317942674e-05
A0A0B4J1V0,A0A075B6J9,0.000538292929646286
A0A0B4J1V0,A0A075B6K4,0.000956809778407904
A0A0B4J1V0,A0A075B6K5,0.000560577769649736
A0A0B4J1V0,A0A075B6Q5,6.64470361024674e-06
A0A0B4J1V0,A0A075B6S2,2.24858990732103e-05
A0A0B4J1V0,A0A087WSX0,0.00386550784972863
A0A0B4J1V0,A0A087WSY6,0.001975392059823
A0A0B4J1V0,A0A087WSZ0,0.000357254149773747
A0A0B4J1V0,A0A0A0MS15,0.00196944282460856
A0A0B4J1V0,A0A0A0MT36,0.000150196300645608
A0A0B4J1V0,A0A0B4J1U7,2.61261097797024e-05
A0A0B4J1V6,A0A075B6H7,3.88032288138348e-06
A0A0B4J1V6,A0A075B6I0,1.51962432566734e-05
A0A0B4J1V6,A0A075B6J1,5.25874186627878e-06
A0A0B4J1V6,A0A075B6J9,5.36093223918901e-06
A0A0B4J1V6,A0A075B6K4,2.66815290073655e-06
A0A0B4J1V6,A0A075B6K5,3.61147383371575e-06
A0A0B4J1V6,A0A075B6Q5,1.54531244486399e-05
A0A0B4J1V6,A0A075B6S2,1.59735519653742e-05
A0A0B4J1V6,A0A087WSX0,5.26760175427758e-06
A0A0B4J1V6,A0A087WSY6,2.9803411933843e-06
A0A0B4J1V6,A0A087WSZ0,1.18194420103938e-05
A0A0B4J1V6,A0A0A0MS15,4.35728029714441e-06
A0A0B4J1V6,A0A0A0MT36,4.23303057309301e-06
A0A0B4J1V6,A0A0B4J1U7,1.80264537893442e-05
A0A0B4J1V6,A0A0B4J1V0,4.99246321076822e-06
A0A0B4J1X5,A0A075B6H7,0.00174666991593984
A0A0B4J1X5,A0A075B6I0,0.000107335175987565
A0A0B4J1X5,A0A075B6J1,8.28386471738708e-06
A0A0B4J1X5,A0A075B6J9,0.000466250340302696
A0A0B4J1X5,A0A075B6K4,0.00155582645731653
A0A0B4J1X5,A0A075B6K5,0.000967297612194421
A0A0B4J1X5,A0A075B6Q5,6.23070391528095e-06
A0A0B4J1X5,A0A075B6S2,2.11731054953069e-05
A0A0B4J1X5,A0A087WSX0,0.00246342808609013
A0A0B4J1X5,A0A087WSY6,0.00529131323873436
A0A0B4J1X5,A0A087WSZ0,0.000433014934215483
A0A0B4J1X5,A0A0A0MS15,0.00195925487019251
A0A0B4J1X5,A0A0A0MT36,0.000160269251495623
A0A0B4J1X5,A0A0B4J1U7,2.38276115819806e-05
A0A0B4J1X5,A0A0B4J1V0,0.0424932360806349
A0A0B4J1X5,A0A0B4J1V6,2.54035758771846e-06
A0A0B4J1Y9,A0A075B6H7,0.000176276406088711
A0A0B4J1Y9,A0A075B6I0,0.00023246957595149
A0A0B4J1Y9,A0A075B6J1,1.28524001412663e-05
A0A0B4J1Y9,A0A075B6J9,8.85554261775886e-05
A0A0B4J1Y9,A0A075B6K4,0.000108789455004315
A0A0B4J1Y9,A0A075B6K5,6.67819260851139e-05
A0A0B4J1Y9,A0A075B6Q5,5.98225007882771e-06
A0A0B4J1Y9,A0A075B6S2,2.27620593776152e-05
A0A0B4J1Y9,A0A087WSX0,0.000203736936398163
A0A0B4J1Y9,A0A087WSY6,0.000479138826918677
A0A0B4J1Y9,A0A087WSZ0,0.000316669328390542
A0A0B4J1Y9,A0A0A0MS15,0.000309078203609053
A0A0B4J1Y9,A0A0A0MT36,8.86555289906044e-05
A0A0B4J1Y9,A0A0B4J1U7,9.76555074408381e-05
A0A0B4J1Y9,A0A0B4J1V0,0.0012687628129455
A0A0B4J1Y9,A0A0B4J1V6,7.25566024811186e-06
A0A0B4J1Y9,A0A0B4J1X5,0.000966027064852387
A0A0C4DH24,A0A075B6H7,1.46668109788965e-05
A0A0C4DH24,A0A075B6I0,1.55921565786463e-05
A0A0C4DH24,A0A075B6J1,1.56049901855135e-05
A0A0C4DH24,A0A075B6J9,1.35107356386934e-05
A0A0C4DH24,A0A075B6K4,8.14171253067008e-06
A0A0C4DH24,A0A075B6K5,6.76427029340875e-06
A0A0C4DH24,A0A075B6Q5,6.3614862524593e-05
