pro_id,NC100,NC101,NC102,NC103,NC104,NC105,NC106,NC107,NC108,NC110,NC112,NC114,NC115,NC116,NC120,NC121,NC122,NC123,NC124,NC126,NC127,NC128,NC129,NC012,NC130,NC131,NC132,NC133,NC138,NC139,NC013,NC140,NC141,NC143,NC144,NC146,NC147,NC148,NC149,NC150,NC151,NC152,NC153,NC157,NC158,NC163,NC164,NC165,NC166
A0A075B6H7,184.5638275,165.339325,178.8470306,164.4470367,143.4129486,696.5969238,174.9533997,251.944519,603.1245117,176.4694366,329.4834595,212.1204681,669.7495117,396.6114197,443.7102966,367.7218323,249.2263031,279.7694092,398.7941589,382.6834717,280.9545288,156.8054504,211.2615204,480.7550354,18.053375245,221.6736603,458.2153015,18.053375245,911.0496826,241.0166016,190.85495,244.5081635,198.5579834,253.624588,567.5640259,169.1226196,245.8336792,152.7997131,18.053375245,180.2672424,244.3703613,113.5314484,377.5205383,184.760498,203.89888,273.6440735,362.6990051,369.5932007,208.9715424
A0A075B6I0,6.69599724,6.69599724,6.69599724,118.421257,162.3259583,164.374649,97.69515991,38.86013412,68.03859711,194.6074066,56.66956329,100.8001556,324.7308044,6.69599724,163.2062836,162.8365631,167.3344879,19.18126678,227.8586121,186.4972839,110.8467712,6.69599724,430.6065674,328.3267517,107.1943436,264.1147766,169.1001587,6.69599724,6.69599724,56.07345581,129.3580322,157.671051,6.69599724,167.5796509,478.4786987,100.7895508,93.10830688,330.7348328,182.333252,6.69599724,88.52235413,6.69599724,174.754776,6.69599724,6.69599724,34.42337036,565.3502808,193.1421356,6.69599724
A0A075B6I9,6.69250536,6.69250536,6.69250536,6.69250536,24.75069237,6.69250536,35.99249268,6.69250536,38.54961014,6.69250536,22.58460236,6.69250536,6.69250536,6.69250536,6.69250536,6.69250536,6.69250536,53.85381317,29.59593201,6.69250536,6.69250536,6.69250536,98.55578613,6.69250536,6.69250536,29.12128639,6.69250536,53.61983109,6.69250536,6.69250536,6.69250536,6.69250536,6.69250536,6.69250536,36.1277771,31.56771851,6.69250536,50.78022003,60.9043808,6.69250536,6.69250536,6.69250536,39.24993515,6.69250536,6.69250536,6.69250536,81.66349792,28.82954025,45.53568268
A0A075B6J1,20.32629967,8.981396675,6.118345737,0.9546210765,0.9546210765,35.06547165,24.96329117,17.89663506,10.64942169,0.9546210765,24.85207558,0.9546210765,0.9546210765,0.9546210765,0.9546210765,0.9546210765,51.61035919,36.8222847,0.9546210765,0.9546210765,6.276192188,0.9546210765,0.9546210765,122.5487061,0.9546210765,0.9546210765,30.61007309,22.2456913,0.9546210765,5.594941139,19.17686844,19.15462303,11.21405315,19.08649826,10.00785923,10.55585194,11.40172768,0.9546210765,20.9119606,0.9546210765,0.9546210765,8.90768528,20.53349304,66.61495209,8.234323502,6.503663063,26.27866173,0.9546210765,0.9546210765
A0A075B6J9,74.2037735,169.4482117,162.7818298,195.322876,128.2130127,713.6681519,320.9375,321.0768127,1279.685059,205.6782684,294.855957,271.6918945,511.649292,223.0646362,714.9874268,250.2463531,314.9437561,217.3301086,378.7594604,357.9842529,348.4502563,71.91917419,792.0222168,999.5199585,49.49815369,275.3177185,396.0120544,204.1337433,282.4548645,249.0306091,326.2411804,261.01297,201.3027191,292.5453186,176.6333618,228.8785095,282.723877,597.6054688,246.3152771,126.5746384,232.2128906,83.34425354,555.5518188,137.8061371,202.5391998,180.7828827,550.5228271,268.6943054,222.9975739
A0A075B6K4,142.6645966,65.864151,188.8455505,168.2497406,218.6170807,828.3328857,182.261734,313.8080444,446.7365417,171.1414948,391.3187866,222.6594696,559.9393921,271.6242676,371.9475708,293.5910645,222.8031158,153.696991,187.5744171,223.2595367,256.2238159,33.42982864,562.9342651,687.9065552,98.6219635,103.7815857,203.980011,235.2435608,231.3941345,308.7843628,184.8175659,362.6677551,265.4613953,176.7294159,185.4072723,79.40354919,166.3790436,347.0249939,201.7467346,292.8319397,115.2856827,71.10157776,520.1919556,107.8017273,78.02178192,187.2132568,355.3123474,179.3926392,113.6251907
A0A075B6K5,250.2199402,232.7134705,279.3160095,279.8727417,263.7957458,1110.942383,316.8769226,557.5305176,703.4945679,381.3965454,754.2647095,352.6130676,539.4740601,281.9732361,534.4174805,331.612854,340.9817505,168.9749451,419.0158997,356.8399353,518.0477295,104.5571518,355.6568909,1360.690552,108.2462082,242.2845306,232.8287354,488.0164185,482.7559204,465.8151245,224.0990906,578.3467407,251.9881287,370.7364502,438.6981812,187.1170502,392.0455933,295.0664063,267.7701416,160.5444794,162.0864258,150.3651733,834.444458,144.3568268,192.7641602,421.6212463,589.5899658,325.8579407,411.4135742
A0A075B6Q5,558.5264893,17.209503175,17.209503175,675.5424194,596.871521,17.209503175,69.30296326,383.7414856,130.2527313,502.193573,416.3067627,17.209503175,485.6824646,903.6501465,217.6800995,17.209503175,68.31395721,531.3765259,82.29608154,92.01863098,365.1574707,17.209503175,1059.966797,205.1960144,778.7897949,571.9923096,116.028244,886.9882202,306.369751,486.0222473,1036.914551,889.7754517,17.209503175,52.24791718,835.5491333,697.3790894,395.4525452,34.41900635,665.4235229,17.209503175,297.4778137,610.4351807,17.209503175,839.4701538,17.209503175,664.6931152,617.2479858,207.8034515,571.1199951
A0A075B6S2,7.31396675,45.5228653,55.05440903,50.19967651,7.31396675,146.3123322,33.39570999,84.94450378,7.31396675,7.31396675,55.3383255,7.31396675,189.5526123,103.2002029,170.4425049,239.9298859,154.1959076,64.11302185,39.83005524,91.71737671,7.31396675,52.42596817,110.6626511,160.3737946,58.24406815,53.52157593,7.31396675,75.49372101,52.28078461,85.65402985,68.36749268,7.31396675,39.18991852,134.0382843,32.52005768,7.31396675,191.5011139,53.91794586,7.31396675,113.5779572,24.49945641,34.76414108,203.5680084,130.8788147,44.41353226,127.517868,7.31396675,170.0927887,90.02079773
A0A075B6S6,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,123.7998962,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,133.0244141,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,31.78077316,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945,9.066391945
