names1,names2,names3
NC001SP,[69] 1sp_S2-D1_1_9726.d.PG.Quantity,1sp_S2-D1_1_9726.d.PG.Quantity
NC003SP,[166] 3sp_S2-D2_1_9727.d.PG.Quantity,3sp_S2-D2_1_9727.d.PG.Quantity
NC004SP,[197] 4sp_S2-D3_1_9728.d.PG.Quantity,4sp_S2-D3_1_9728.d.PG.Quantity
NC005SP,[235] 5_S3-A1_1_9453.d.PG.Quantity,5_S3-A1_1_9453.d.PG.Quantity
NC006SP,[243] 6_S3-A2_1_9454.d.PG.Quantity,6_S3-A2_1_9454.d.PG.Quantity
NC012SP,[24] 12_S3-A3_1_9455.d.PG.Quantity,12_S3-A3_1_9455.d.PG.Quantity
NC013SP,[31] 13_S3-A4_1_9456.d.PG.Quantity,13_S3-A4_1_9456.d.PG.Quantity
NC025SP,[103] 25_S3-A5_1_9457.d.PG.Quantity,25_S3-A5_1_9457.d.PG.Quantity
NC026SP,[110] 26_S3-A6_1_9458.d.PG.Quantity,26_S3-A6_1_9458.d.PG.Quantity
NC028SP,[124] 28_S3-A7_1_9459.d.PG.Quantity,28_S3-A7_1_9459.d.PG.Quantity
NC032SP,[144] 32_S3-A8_1_9460.d.PG.Quantity,32_S3-A8_1_9460.d.PG.Quantity
NC033SP,[151] 33_S3-A9_1_9461.d.PG.Quantity,33_S3-A9_1_9461.d.PG.Quantity
NC034SP,[154] 34_S3-A10_1_9462.d.PG.Quantity,34_S3-A10_1_9462.d.PG.Quantity
NC035SP,[157] 35_S3-A11_1_9463.d.PG.Quantity,35_S3-A11_1_9463.d.PG.Quantity
NC036SP,[160] 36_S3-A12_1_9464.d.PG.Quantity,36_S3-A12_1_9464.d.PG.Quantity
NC040SP,[170] 40_S3-B1_1_9466.d.PG.Quantity,40_S3-B1_1_9466.d.PG.Quantity
NC041SP,[173] 41_S3-B2_1_9467.d.PG.Quantity,41_S3-B2_1_9467.d.PG.Quantity
NC042SP,[178] 42_S3-B3_1_9468.d.PG.Quantity,42_S3-B3_1_9468.d.PG.Quantity
NC043SP,[180] 43_S3-B4_1_9469.d.PG.Quantity,43_S3-B4_1_9469.d.PG.Quantity
NC046SP,[186] 46_S3-B5_1_9470.d.PG.Quantity,46_S3-B5_1_9470.d.PG.Quantity
NC047SP,[189] 47_S3-B6_1_9471.d.PG.Quantity,47_S3-B6_1_9471.d.PG.Quantity
NC048SP,[194] 48_S3-B7_1_9472.d.PG.Quantity,48_S3-B7_1_9472.d.PG.Quantity
NC050SP,[203] 50_S3-B8_1_9473.d.PG.Quantity,50_S3-B8_1_9473.d.PG.Quantity
NC052SP,[213] 52_S3-B9_1_9474.d.PG.Quantity,52_S3-B9_1_9474.d.PG.Quantity
NC054SP,[225] 54_S3-B10_1_9475.d.PG.Quantity,54_S3-B10_1_9475.d.PG.Quantity
NC055SP,[229] 55_S3-B11_1_9476.d.PG.Quantity,55_S3-B11_1_9476.d.PG.Quantity
NC056SP,[231] 56_S3-B12_1_9477.d.PG.Quantity,56_S3-B12_1_9477.d.PG.Quantity
NC057SP,[232] 57_S3-C1_1_9479.d.PG.Quantity,57_S3-C1_1_9479.d.PG.Quantity
NC058SP,[233] 58_S3-C2_1_9480.d.PG.Quantity,58_S3-C2_1_9480.d.PG.Quantity
NC059SP,[234] 59_S3-C3_1_9481.d.PG.Quantity,59_S3-C3_1_9481.d.PG.Quantity
NC060SP,[236] 60_S2-D4_1_9729.d.PG.Quantity,60_S2-D4_1_9729.d.PG.Quantity
NC061SP,[237] 61_S3-C5_1_9483.d.PG.Quantity,61_S3-C5_1_9483.d.PG.Quantity
NC063SP,[238] 63_S3-C6_1_9484.d.PG.Quantity,63_S3-C6_1_9484.d.PG.Quantity
NC064SP,[239] 64_S3-C7_1_9485.d.PG.Quantity,64_S3-C7_1_9485.d.PG.Quantity
NC067SP,[240] 67_S3-C8_1_9486.d.PG.Quantity,67_S3-C8_1_9486.d.PG.Quantity
NC068SP,[241] 68_S3-C9_1_9487.d.PG.Quantity,68_S3-C9_1_9487.d.PG.Quantity
NC069SP,[242] 69_S3-C10_1_9488.d.PG.Quantity,69_S3-C10_1_9488.d.PG.Quantity
NC070SP,[244] 70_S3-C11_1_9489.d.PG.Quantity,70_S3-C11_1_9489.d.PG.Quantity
NC073SP,[245] 73_S3-C12_1_9490.d.PG.Quantity,73_S3-C12_1_9490.d.PG.Quantity
NC075SP,[246] 75_S3-D1_1_9493.d.PG.Quantity,75_S3-D1_1_9493.d.PG.Quantity
NC076SP,[247] 76_S3-D2_1_9494.d.PG.Quantity,76_S3-D2_1_9494.d.PG.Quantity
NC077SP,[248] 77_S3-D3_1_9495.d.PG.Quantity,77_S3-D3_1_9495.d.PG.Quantity
NC078SP,[249] 78_S3-D4_1_9496.d.PG.Quantity,78_S3-D4_1_9496.d.PG.Quantity
NC079SP,[250] 79_S3-D5_1_9497.d.PG.Quantity,79_S3-D5_1_9497.d.PG.Quantity
NC080SP,[251] 80_S3-D6_1_9498.d.PG.Quantity,80_S3-D6_1_9498.d.PG.Quantity
NC081SP,[252] 81_S3-D7_1_9499.d.PG.Quantity,81_S3-D7_1_9499.d.PG.Quantity
NC082SP,[253] 82_S3-D8_1_9500.d.PG.Quantity,82_S3-D8_1_9500.d.PG.Quantity
NC084SP,[254] 84_S3-D9_1_9501.d.PG.Quantity,84_S3-D9_1_9501.d.PG.Quantity
NC085SP,[255] 85_S3-D10_1_9502.d.PG.Quantity,85_S3-D10_1_9502.d.PG.Quantity
NC086SP,[256] 86_S3-D11_1_9503.d.PG.Quantity,86_S3-D11_1_9503.d.PG.Quantity
NC087SP,[257] 87_S3-D12_1_9504.d.PG.Quantity,87_S3-D12_1_9504.d.PG.Quantity
NC089SP,[258] 89_S2-B1_1_9426.d.PG.Quantity,89_S2-B1_1_9426.d.PG.Quantity
NC090SP,[259] 90_S2-B2_1_9427.d.PG.Quantity,90_S2-B2_1_9427.d.PG.Quantity
NC091SP,[260] 91_S2-B3_1_9428.d.PG.Quantity,91_S2-B3_1_9428.d.PG.Quantity
NC092SP,[261] 92_S2-B4_1_9429.d.PG.Quantity,92_S2-B4_1_9429.d.PG.Quantity
NC093SP,[262] 93_S2-B5_1_9430.d.PG.Quantity,93_S2-B5_1_9430.d.PG.Quantity
NC094SP,[263] 94_S2-B6_1_9431.d.PG.Quantity,94_S2-B6_1_9431.d.PG.Quantity
