pro_id	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	P1	P2	P3	P4	relative_P4	relative_PP4
A0A075B6I0	1176	0.801759391915762	0.0876918312370523	0.0919623805171757	0.0100497796734719	0.0085366166565384	0.1176	0.1176	0.013818	0.01176	0.459770114942529	0.459293803110981
A0A075B6I9	1496	0.762335403406836	0.109247753614791	0.103612102940458	0.0148383397953819	0.00996640024253301	0.1496	0.1496	0.0223652	0.01496	0.400801603206413	0.401794182373975
A0A075B6P5	623	0.899011276039469	0.0500950415660495	0.0444011340551217	0.00247011411484075	0.00402243422451948	0.0623	0.0623	0.00387506	0.00623	0.61652281134402	0.619546288186103
A0A087WSY6	2	0.999556495574133	0.000195040454917121	0.000225646879862875	2.12339403627949e-08	2.27958571463544e-05	2e-04	2e-04	2e-08	2e-05	0.999000999000999	0.999069384424067
A0A0A0MS15	40	0.993794759602822	0.00310638824855931	0.00286219463737002	8.71866476628912e-06	0.00022793884648209	0.004	0.004	1.56e-05	4e-04	0.962463907603465	0.963159146226554
A0A0A0MT36	2	0.999435944205327	0.000197377486155279	0.000333715654798818	3.2975452939687e-08	3.2929678266322e-05	2e-04	2e-04	2e-08	2e-05	0.999000999000999	0.998999611705401
A0A0B4J1V0	334	0.938557582011336	0.0253836676842742	0.0325522078611302	0.000877758784001314	0.00262878365925809	0.0334	0.0334	0.00111222	0.00334	0.750187546886722	0.749679692117053
A0A0B4J1X5	39	0.989737524665289	0.00315527608783217	0.00653317954828428	2.02739835490208e-05	0.000553745715045229	0.0039	0.0039	1.482e-05	0.00039	0.963391136801541	0.964680683261095
A0A0C4DH24	735	0.728664840374881	0.188557665187128	0.0525926473367447	0.0135928842164856	0.016591962884761	0.0735	0.0735	0.0053949	0.00735	0.576701268742791	0.549678546626655
A0A0C4DH29	686	0.891818780835306	0.044683596300876	0.0565885374315451	0.00283122839147734	0.00407785704079551	0.0686	0.0686	0.0046991	0.00686	0.593471810089021	0.590216618504605
A0A0C4DH31	270	0.946132658120872	0.0215466878191798	0.0290850202469822	0.000659789888933049	0.00257584392403292	0.027	0.027	0.0007263	0.0027	0.788022064617809	0.796086353687765
A0A0C4DH38	40	0.990213700343759	0.00482476965878281	0.00435612633765953	2.0640257192916e-05	0.000584763402606044	0.004	0.004	1.56e-05	4e-04	0.962463907603465	0.965906619725804
A0A0C4DH68	690	0.768531271932514	0.076765475077452	0.124840876541242	0.0124524394325166	0.0174099370162752	0.069	0.069	0.0047541	0.0069	0.59206631142688	0.583005744573941
A0AVT1	2601	0.662578411358653	0.137783953399963	0.1550833112331	0.0322374385574365	0.0123168854508476	0.2601	0.2601	0.067626	0.02601	0.277777777777778	0.276446466757244
A0FGR8	2850	0.579199769634528	0.171546467070625	0.176804579948012	0.0523455958517941	0.0201035874950415	0.285	0.285	0.0811965	0.0285	0.25980774227072	0.277485356857644
A0MZ66	3333	0.566808413898649	0.191645196179444	0.167313702635897	0.0565532298284782	0.017679457457532	0.3333	0.3333	0.11105556	0.03333	0.23084025854109	0.238162703034245
A0PJW8	3775	0.465967040808695	0.251486471717798	0.167852693586444	0.0905674348061083	0.0241263590809552	0.3775	0.3775	0.1424685	0.03775	0.209467951403435	0.210354529772657
A1A4S6	3374	0.55647497400749	0.199139474575578	0.167310687460291	0.0598563858131297	0.0172184781435116	0.3374	0.3374	0.11380502	0.03374	0.228675966155957	0.223399397152331
A1A5D9	2120	0.689787667436739	0.134714956140909	0.136398694265103	0.0266260786246766	0.0124726035325728	0.212	0.212	0.0449228	0.0212	0.320615581917281	0.319003169529083
A1IGU5	4119	0.46669231473953	0.243290705482099	0.176656883697369	0.0920714596381657	0.0212886364428374	0.4119	0.4119	0.16962042	0.04119	0.195388823759281	0.187796563154157
A1L0T0	4612	0.461004756012685	0.228407266744245	0.193536028695085	0.0958672736419181	0.0211846749060677	0.4612	0.4612	0.21265932	0.04612	0.17822135091784	0.180985239193886
A1X283	3316	0.545979782486918	0.178260490913412	0.193364389581746	0.06311351561481	0.0192818214031135	0.3316	0.3316	0.1099254	0.03316	0.231749710312862	0.234015929796114
A2A3N6	2868	0.616595358921405	0.146821505373878	0.178833781327449	0.0425680860337799	0.0151812683434888	0.2868	0.2868	0.08222556	0.02868	0.258598396689941	0.262882044434846
A2RRP1	3939	0.502925273688565	0.188644555774581	0.21034334998096	0.0788794479410716	0.0192073726148228	0.3939	0.3939	0.15511782	0.03939	0.202511138112596	0.195820116361888
A3KMH1	3610	0.451687728030317	0.24429804406433	0.180048049144005	0.0973534654111692	0.0266127133501789	0.361	0.361	0.1302849	0.0361	0.216966804078976	0.214677209671938
A3KN83	2242	0.489862621839744	0.103524877355413	0.314561708866673	0.0664521460917071	0.0255986458464629	0.2242	0.2242	0.05024322	0.02242	0.308546744831842	0.278092619384061
A4D0S4	3068	0.611554575105813	0.162291533208189	0.166766532231172	0.0442405865750833	0.0151467728797435	0.3068	0.3068	0.09409556	0.03068	0.24588148512417	0.255050452129716
A4D1P6	4088	0.465001694263841	0.231231242417254	0.187397377048277	0.0931638273393196	0.0232058589313084	0.4088	0.4088	0.16707656	0.04088	0.19657951641439	0.199414982329171
A4D2B0	1841	0.699112213235033	0.136837932478437	0.126108317192459	0.0246700355073121	0.0132715015867585	0.1841	0.1841	0.0338744	0.01841	0.352112676056338	0.349788190021234
A5D8V6	2907	0.475642545705265	0.29238775895933	0.121269612299966	0.0745108640048949	0.0361892190305447	0.2907	0.2907	0.08447742	0.02907	0.256016385048643	0.326912302486341
A5YKK6	4606	0.401973429481366	0.192746746328093	0.257159211857173	0.123283316274486	0.0248372960588816	0.4606	0.4606	0.2121063	0.04606	0.178412132024978	0.167682915075868
A6NCE7	3715	0.534656069747157	0.17703008403898	0.203155864261772	0.0672490721613885	0.017908909790703	0.3715	0.3715	0.1379751	0.03715	0.212134068731438	0.210302186362029
A6ND36	2763	0.609194144133193	0.167334422503278	0.162442316547163	0.0446034898651632	0.0164256269512035	0.2763	0.2763	0.07631406	0.02763	0.265816055289739	0.269144103799295
A6NDG6	2514	0.465505711478401	0.116140868471959	0.314418185251992	0.0784199262792334	0.025515308518415	0.2514	0.2514	0.06317682	0.02514	0.284656988329064	0.245492383483723
A6NFQ2	1274	0.742326947112488	0.0849520486148751	0.143276083122114	0.0163834830037382	0.0130614381467841	0.1274	0.1274	0.01621802	0.01274	0.43994720633524	0.44358883082125
A6NGU5	2057	0.640325619555665	0.128591583253841	0.176507911586975	0.0354275552763066	0.0191473303272112	0.2057	0.2057	0.04229192	0.02057	0.327225130890052	0.350845084061469
A6NHR9	4433	0.493479760668161	0.18674211533431	0.218470913952222	0.0826548914863961	0.0186523185589109	0.4433	0.4433	0.19647056	0.04433	0.184094256259205	0.184116397545339
A6NI72	1365	0.769327864830173	0.0932884726764624	0.113599574972854	0.0137650322985362	0.0100190552219746	0.1365	0.1365	0.0186186	0.01365	0.423011844331641	0.421250351241535
A6NIH7	3085	0.587084542068379	0.168587111031956	0.177032964134164	0.0508202849293532	0.0164750978361486	0.3085	0.3085	0.0951414	0.03085	0.244857982370225	0.244817655522637
A6NMZ7	3502	0.581469462109283	0.167239332585233	0.183334799463754	0.0527145944051442	0.0152418114365855	0.3502	0.3502	0.12260502	0.03502	0.222172850477672	0.224288074800243
A7E2V4	2391	0.598826402548179	0.145452302249571	0.188956981371288	0.0458759322155222	0.0208883816154396	0.2391	0.2391	0.0571449	0.02391	0.294985250737463	0.312867464920348
A8K2U0	2900	0.629933469599153	0.158359988110988	0.158416963655668	0.0398112169304103	0.0134783617037806	0.29	0.29	0.084071	0.029	0.256476019492177	0.252926783232863
A8MWD9	3106	0.525755707359336	0.182647606015502	0.201102945397391	0.0698425400592456	0.0206512011685257	0.3106	0.3106	0.0964413	0.03106	0.243605359317905	0.228205850353197
A8MXV4	4061	0.423458022940198	0.21582820140601	0.221919412967467	0.113082235208804	0.0257121274775201	0.4061	0.4061	0.1648766	0.04061	0.197628458498024	0.185253399200583
A8TX70	3564	0.515067078000478	0.173922187224781	0.216897908564029	0.0732188067363592	0.0208940194743522	0.3564	0.3564	0.12698532	0.03564	0.219154065307911	0.222010328619524
A9UHW6	2817	0.572376153854419	0.171908554017701	0.18211765462711	0.0546786473868469	0.0189189901139229	0.2817	0.2817	0.07932672	0.02817	0.262054507337526	0.25705974751873
B0I1T2	2991	0.612238000268806	0.164746442357904	0.164169743283623	0.0441615693313223	0.0146842447583445	0.2991	0.2991	0.0894309	0.02991	0.25062656641604	0.249537626176251
B1AK53	3167	0.511893881199919	0.14290292997911	0.253097717319121	0.0706345902757179	0.0214708812261328	0.3167	0.3167	0.10026722	0.03167	0.240038406144983	0.233111897437074
B5ME19	2677	0.544946199601019	0.217991984982796	0.153477406726877	0.0613725543940047	0.0222118542953031	0.2677	0.2677	0.07163652	0.02677	0.272034820457019	0.265741597549215
B7ZAQ6	71	0.98879376938899	0.00557390188941096	0.00519102335781439	2.88497179214087e-05	0.000412455645863578	0.0071	0.0071	4.97e-05	0.00071	0.934579439252337	0.93462640545773
C4AMC7	1952	0.607520339494529	0.194466236746107	0.13513221378171	0.0432359486158142	0.0196452613618401	0.1952	0.1952	0.03808352	0.01952	0.338868180277872	0.31241862821694
C9JLW8	3224	0.585038847420932	0.177242746970873	0.17035529909667	0.0515948920109629	0.0157682145005628	0.3224	0.3224	0.10390952	0.03224	0.236798484489699	0.234077899864445
E9PAV3	1883	0.700409823316357	0.135746620715965	0.126407699299212	0.0244861613123966	0.0129496953560695	0.1883	0.1883	0.03543806	0.01883	0.346981263011797	0.345916896486507
L0R6Q1	2143	0.693623495254774	0.151072168566857	0.117707799374943	0.025624951948529	0.0119715848548977	0.2143	0.2143	0.04590306	0.02143	0.318268618714195	0.318422542945673
L0R819	2691	0.611016618232781	0.174887550046191	0.154076456123369	0.0440844268534447	0.0159349487442139	0.2691	0.2691	0.0723879	0.02691	0.2710027100271	0.265496743102332
O00115	2354	0.664714389209767	0.134561068992953	0.155326762744284	0.0314295141952306	0.0139682648577656	0.2354	0.2354	0.05538962	0.02354	0.298240381747689	0.307686083970307
O00116	2572	0.652579527245843	0.139922851373919	0.160042906742061	0.034302450537645	0.0131522641005326	0.2572	0.2572	0.06612612	0.02572	0.280033604032484	0.27715400252247
O00139	3262	0.549205236087579	0.170992655975011	0.198491742519827	0.0617800083442673	0.0195303570733163	0.3262	0.3262	0.10637382	0.03262	0.234686693264492	0.240195170357614
O00142	1993	0.713635993568933	0.108403327730114	0.144788654136579	0.0219826170532243	0.0111894075111498	0.1993	0.1993	0.03970056	0.01993	0.334224598930481	0.337314579320761
