chr,start,end,id,gene_id,strand
10,47763591,47763592,X6R8R1,ENSG00000277758,-
6,42155445,42155446,X6R8D5,ENSG00000287363,+
1,159002750,159002751,W6CW81,ENSG00000289721,-
19,51693329,51693330,W5XKT8,ENSG00000182310,+
1,33321097,33321098,U3KPV4,ENSG00000184389,-
8,119067246,119067247,Q9Y6Z7,ENSG00000184374,+
8,73991391,73991392,Q9Y6Y9,ENSG00000154589,+
10,119892729,119892730,Q9Y6Y8,ENSG00000107651,+
1,6785453,6785454,Q9Y6Y1,ENSG00000171735,+
1,185317242,185317243,Q9Y6Y0,ENSG00000116679,-
22,30968773,30968774,Q9Y6X9,ENSG00000133422,-
8,122781654,122781655,Q9Y6X8,ENSG00000178764,+
13,108596151,108596152,Q9Y6X6,ENSG00000041515,+
6,46129988,46129989,Q9Y6X5,ENSG00000001561,+
5,74866965,74866966,Q9Y6X4,ENSG00000198780,-
19,19320828,19320829,Q9Y6X3,ENSG00000129933,+
1,145859080,145859081,Q9Y6X2,ENSG00000131788,-
3,150603173,150603174,Q9Y6X1,ENSG00000120742,-
18,44680172,44680173,Q9Y6X0,ENSG00000152217,+
2,203936762,203936763,Q9Y6W8,ENSG00000163600,+
1,221742088,221742089,Q9Y6W6,ENSG00000143507,-
1,27490166,27490167,Q9Y6W5,ENSG00000158195,-
3,15206245,15206246,Q9Y6W3,ENSG00000131375,+
19,18919714,18919715,Q9Y6V7,ENSG00000105671,+
7,83162929,83162930,Q9Y6V0,ENSG00000186472,-
22,30387410,30387411,Q9Y6U7,ENSG00000099999,-
7,12570576,12570577,Q9Y6U3,ENSG00000006747,+
7,14903360,14903361,Q9Y6T7,ENSG00000136267,-
14,74923301,74923302,Q9Y6S9,ENSG00000198208,-
19,45995460,45995461,Q9Y6R9,ENSG00000104983,+
HG2021_PATCH,209768,209769,Q9Y6R7,ENSG00000281123,-
19,40056230,40056231,Q9Y6R6,ENSG00000128000,-
6,160991726,160991727,Q9Y6R4,ENSG00000085511,+
4,71062666,71062667,Q9Y6R1,ENSG00000080493,+
19,40690650,40690651,Q9Y6R0,ENSG00000105245,-
20,47501886,47501887,Q9Y6Q9,ENSG00000124151,+
18,62325286,62325287,Q9Y6Q6,ENSG00000141655,+
19,10587314,10587315,Q9Y6Q5,ENSG00000129354,-
9,113056758,113056759,Q9Y6Q3,ENSG00000136866,-
2,48529545,48529546,Q9Y6Q2,ENSG00000243244,+
X,111270482,111270483,Q9Y6Q1,ENSG00000077274,-
6,109094845,109094846,Q9Y6P5,ENSG00000080546,-
11,17544415,17544416,Q9Y6N9,ENSG00000006611,-
5,24644977,24644978,Q9Y6N8,ENSG00000040731,-
3,79767997,79767998,Q9Y6N7,ENSG00000169855,-
9,131009173,131009174,Q9Y6N6,ENSG00000050555,+
15,45631147,45631148,Q9Y6N5,ENSG00000137767,+
17,54968653,54968654,Q9Y6N1,ENSG00000166260,-
8,124539122,124539123,Q9Y6M9,ENSG00000147684,+
3,27484419,27484420,Q9Y6M7,ENSG00000033867,-
1,211579160,211579161,Q9Y6M5,ENSG00000170385,-
5,123512176,123512177,Q9Y6M4,ENSG00000151292,+
3,185825041,185825042,Q9Y6M1,ENSG00000073792,-
16,2817179,2817180,Q9Y6M0,ENSG00000007038,+
10,96513925,96513926,Q9Y6L7,ENSG00000095587,-
12,21131193,21131194,Q9Y6L6,ENSG00000134538,+
X,154541198,154541199,Q9Y6K9,ENSG00000269335,+
1,77282018,77282019,Q9Y6K8,ENSG00000154027,+
12,112938473,112938474,Q9Y6K5,ENSG00000111331,+
2,25342589,25342590,Q9Y6K1,ENSG00000119772,-
1,111139626,111139627,Q9Y6K0,ENSG00000134255,+
11,62771395,62771396,Q9Y6J9,ENSG00000162227,+
7,76048002,76048003,Q9Y6J8,ENSG00000127952,-
21,34364005,34364006,Q9Y6J6,ENSG00000159197,+
22,24011303,24011304,Q9Y6J0,ENSG00000099991,+
3,51671174,51671175,Q9Y6I9,ENSG00000164081,+
20,33720318,33720319,Q9Y6I8,ENSG00000101417,-
17,27294113,27294114,Q9Y6I7,ENSG00000109046,+
15,63504510,63504511,Q9Y6I4,ENSG00000140455,+
19,55675225,55675226,Q9Y6I3,ENSG00000063245,+
13,20161051,20161052,Q9Y6H8,ENSG00000121743,-
11,74467548,74467549,Q9Y6H6,ENSG00000175538,-
5,122312206,122312207,Q9Y6H5,ENSG00000064692,+
12,57941566,57941567,Q9Y6H3,ENSG00000166896,+
7,56106475,56106476,Q9Y6H1,ENSG00000106153,-
3,32570857,32570858,Q9Y6G9,ENSG00000144635,-
5,116085024,116085025,Q9Y6G5,ENSG00000145781,+
12,93467513,93467514,Q9Y6G3,ENSG00000198015,+
6,52671112,52671113,Q9Y6G1,ENSG00000096092,+
2,218859804,218859805,Q9Y6F9,ENSG00000115596,+
Y,25622161,25622162,Q9Y6F8,ENSG00000172288,+
Y,18025786,18025787,Q9Y6F7,ENSG00000182415,+
11,10693987,10693988,Q9Y6F6,ENSG00000072952,-
3,51942344,51942345,Q9Y6F1,ENSG00000041880,+
12,120302320,120302321,Q9Y6E7,ENSG00000089163,+
7,16646133,16646134,Q9Y6E2,ENSG00000136261,+
13,98577106,98577107,Q9Y6E0,ENSG00000102572,-
7,2233242,2233243,Q9Y6D9,ENSG00000002822,-
8,67343780,67343781,Q9Y6D6,ENSG00000066777,-
20,48921710,48921711,Q9Y6D5,ENSG00000124198,+
3,53891858,53891859,Q9Y6D0,ENSG00000113811,-
11,47642558,47642559,Q9Y6C9,ENSG00000109919,-
1,44843252,44843253,Q9Y6C5,ENSG00000117425,-
2,27078614,27078615,Q9Y6C2,ENSG00000138080,+
1,113905069,113905070,Q9Y6B7,ENSG00000134262,-
5,134632827,134632828,Q9Y6B6,ENSG00000152700,-
15,48878133,48878134,Q9Y6B2,ENSG00000255302,+
3,52705840,52705841,Q9Y6A9,ENSG00000114902,+
4,1721077,1721078,Q9Y6A5,ENSG00000013810,+
16,58129380,58129381,Q9Y6A4,ENSG00000070761,-
14,99684297,99684298,Q9Y6A2,ENSG00000036530,+
9,131502788,131502789,Q9Y6A1,ENSG00000130714,+
22,36703751,36703752,Q9Y698,ENSG00000166862,-
20,35699351,35699352,Q9Y697,ENSG00000244005,-
1,24745381,24745382,Q9Y696,ENSG00000169504,+
6,43298259,43298260,Q9Y694,ENSG00000137204,+
13,39603225,39603226,Q9Y693,ENSG00000183722,-
1,28668777,28668778,Q9Y692,ENSG00000162419,+
3,178536204,178536205,Q9Y691,ENSG00000197584,+
2,151828467,151828468,Q9Y689,ENSG00000162980,-
2,178478599,178478600,Q9Y680,ENSG00000079150,-
2,74529759,74529760,Q9Y679,ENSG00000115307,-
3,129249605,129249606,Q9Y678,ENSG00000181789,+
6,30617839,30617840,Q9Y676,ENSG00000204568,+
15,24954986,24954987,Q9Y675,ENSG00000273173,+
13,36999341,36999342,Q9Y673,ENSG00000120697,-
1,63367626,63367627,Q9Y672,ENSG00000088035,+
5,1112062,1112063,Q9Y666,ENSG00000113504,-
19,47484218,47484219,Q9Y664,ENSG00000118162,-
17,13601928,13601929,Q9Y663,ENSG00000153976,-
17,14301080,14301081,Q9Y662,ENSG00000125430,+
16,25691958,25691959,Q9Y661,ENSG00000182601,+
9,88388443,88388444,Q9Y657,ENSG00000106723,+
16,57619941,57619942,Q9Y653,ENSG00000205336,+
13,94712544,94712545,Q9Y651,ENSG00000125285,-
8,96645241,96645242,Q9Y646,ENSG00000104324,+
17,82051810,82051811,Q9Y644,ENSG00000169733,-
15,73634133,73634134,Q9Y639,ENSG00000156642,-
13,93226806,93226807,Q9Y625,ENSG00000183098,+
1,161021151,161021152,Q9Y624,ENSG00000158769,-
17,10469558,10469559,Q9Y623,ENSG00000264424,-
8,94475114,94475115,Q9Y620,ENSG00000197275,-
13,40789610,40789611,Q9Y619,ENSG00000102743,+
12,124567611,124567612,Q9Y618,ENSG00000196498,-
9,78297124,78297125,Q9Y617,ENSG00000135069,+
12,66189213,66189214,Q9Y616,ENSG00000090376,+
9,108862265,108862266,Q9Y615,ENSG00000187003,+
9,108855985,108855986,Q9Y614,ENSG00000148156,-
16,67247480,67247481,Q9Y613,ENSG00000135723,-
3,37176359,37176360,Q9Y608,ENSG00000093167,-
12,131929199,131929200,Q9Y606,ENSG00000177192,+
4,6640090,6640091,Q9Y605,ENSG00000179010,+
6,36387799,36387800,Q9Y603,ENSG00000010030,-
12,53180924,53180925,Q9Y600,ENSG00000139631,-
1,11273197,11273198,Q9Y5Z9,ENSG00000120942,+
12,104064530,104064531,Q9Y5Z7,ENSG00000111727,+
2,167293000,167293001,Q9Y5Z6,ENSG00000172318,+
6,138404222,138404223,Q9Y5Z4,ENSG00000051620,+
21,41167800,41167801,Q9Y5Z0,ENSG00000182240,+
3,38816216,38816217,Q9Y5Y9,ENSG00000185313,-
11,10568664,10568665,Q9Y5Y7,ENSG00000133800,-
11,130159781,130159782,Q9Y5Y6,ENSG00000149418,+
11,45917876,45917877,Q9Y5Y5,ENSG00000121680,-
11,60855949,60855950,Q9Y5Y4,ENSG00000183134,-
2,105241742,105241743,Q9Y5Y3,ENSG00000135973,+
16,1782959,1782960,Q9Y5Y2,ENSG00000095906,+
1,212858274,212858275,Q9Y5Y0,ENSG00000162769,+
18,49562056,49562057,Q9Y5X9,ENSG00000101670,+
4,72031999,72032000,Q9Y5X5,ENSG00000056291,+
15,71810553,71810554,Q9Y5X4,ENSG00000278570,+
20,17968979,17968980,Q9Y5X3,ENSG00000089006,-
7,2314440,2314441,Q9Y5X2,ENSG00000106266,-
6,157823205,157823206,Q9Y5X1,ENSG00000130340,+
7,26291861,26291862,Q9Y5X0,ENSG00000086300,+
17,48107548,48107549,Q9Y5W9,ENSG00000002919,+
7,17940493,17940494,Q9Y5W8,ENSG00000071189,-
6,85594155,85594156,Q9Y5W7,ENSG00000135317,-
12,65121304,65121305,Q9Y5W5,ENSG00000156076,-
19,16324825,16324826,Q9Y5W3,ENSG00000127528,+
X,51803006,51803007,Q9Y5V3,ENSG00000179222,+
8,101206063,101206064,Q9Y5V0,ENSG00000120963,-
18,47176363,47176364,Q9Y5U9,ENSG00000134049,-
6,166382939,166382940,Q9Y5U8,ENSG00000060762,-
1,1206591,1206592,Q9Y5U5,ENSG00000186891,-
2,118088470,118088471,Q9Y5U4,ENSG00000125629,+
11,2400487,2400488,Q9Y5U2,ENSG00000184281,+
21,29024628,29024629,Q9Y5T5,ENSG00000156256,+
13,43023585,43023586,Q9Y5T4,ENSG00000120675,+
1,145927483,145927484,Q9Y5S9,ENSG00000265241,-
X,100874358,100874359,Q9Y5S8,ENSG00000007952,-
14,103057548,103057549,Q9Y5S2,ENSG00000198752,-
17,16415570,16415571,Q9Y5S1,ENSG00000187688,+
17,7931998,7931999,Q9Y5R8,ENSG00000170043,-
9,841696,841697,Q9Y5R6,ENSG00000137090,+
9,1049857,1049858,Q9Y5R5,ENSG00000173253,+
3,50569151,50569152,Q9Y5R4,ENSG00000114735,+
20,35226689,35226690,Q9Y5R2,ENSG00000125966,+
2,196799682,196799683,Q9Y5Q9,ENSG00000119041,-
9,133030996,133030997,Q9Y5Q8,ENSG00000148308,+
1,66801275,66801276,Q9Y5Q6,ENSG00000172410,-
4,47838066,47838067,Q9Y5Q5,ENSG00000145244,-
20,40689235,40689236,Q9Y5Q3,ENSG00000204103,-
11,61891544,61891545,Q9Y5Q0,ENSG00000221968,-
X,386906,386907,Q9Y5P8,ENSG00000167393,-
3,49723950,49723951,Q9Y5P6,ENSG00000173540,-
5,75512137,75512138,Q9Y5P4,ENSG00000113163,-
X,17861336,17861337,Q9Y5P3,ENSG00000131831,-
X,152759217,152759218,Q9Y5P2,ENSG00000268916,+
11,5324296,5324297,Q9Y5P1,ENSG00000279012,-
11,5301945,5301946,Q9Y5P0,ENSG00000183251,-
16,46689658,46689659,Q9Y5N6,ENSG00000091651,+
21,28885370,28885371,Q9Y5N5,ENSG00000156239,-
20,62220277,62220278,Q9Y5N1,ENSG00000101180,-
3,133784022,133784023,Q9Y5M8,ENSG00000144867,+
1,154993585,154993586,Q9Y5L5,ENSG00000163352,+
19,2427585,2427586,Q9Y5L4,ENSG00000099800,-
9,137054060,137054061,Q9Y5L3,ENSG00000054179,-
7,128455848,128455849,Q9Y5L2,ENSG00000135245,+
7,129055143,129055144,Q9Y5L0,ENSG00000064419,-
14,67359803,67359804,Q9Y5K8,ENSG00000100554,-
6,47477788,47477789,Q9Y5K6,ENSG00000198087,+
1,193059495,193059496,Q9Y5K5,ENSG00000116750,-
X,24672676,24672677,Q9Y5K3,ENSG00000102230,-
19,50909327,50909328,Q9Y5K2,ENSG00000167749,-
20,57329802,57329803,Q9Y5K1,ENSG00000054796,+
11,112086755,112086756,Q9Y5J9,ENSG00000150779,-
14,58427530,58427531,Q9Y5J7,ENSG00000100575,-
11,6481500,6481501,Q9Y5J6,ENSG00000132286,+
1,201469236,201469237,Q9Y5J5,ENSG00000174307,-
8,79767856,79767857,Q9Y5J3,ENSG00000164683,-
17,51260545,51260546,Q9Y5J1,ENSG00000011260,+
3,190388162,190388163,Q9Y5I7,ENSG00000113946,+
5,140966469,140966470,Q9Y5I4,ENSG00000243232,+
5,140786135,140786136,Q9Y5I3,ENSG00000204970,+
5,140855882,140855883,Q9Y5I2,ENSG00000250120,+
5,140868182,140868183,Q9Y5I1,ENSG00000249158,+
5,140882123,140882124,Q9Y5I0,ENSG00000239389,+
5,140794851,140794852,Q9Y5H9,ENSG00000204969,+
5,140801027,140801028,Q9Y5H8,ENSG00000255408,+
5,140821603,140821604,Q9Y5H7,ENSG00000204965,+
5,140841186,140841187,Q9Y5H6,ENSG00000204962,+
5,140847771,140847772,Q9Y5H5,ENSG00000204961,+
5,141330513,141330514,Q9Y5H4,ENSG00000204956,+
5,141412986,141412987,Q9Y5H3,ENSG00000253846,+
5,141421046,141421047,Q9Y5H2,ENSG00000253873,+
5,141338759,141338760,Q9Y5H1,ENSG00000081853,+
5,141343828,141343829,Q9Y5H0,ENSG00000254245,+
5,141355020,141355021,Q9Y5G9,ENSG00000262576,+
5,141364161,141364162,Q9Y5G8,ENSG00000253485,+
5,141373890,141373891,Q9Y5G7,ENSG00000253731,+
5,141382738,141382739,Q9Y5G6,ENSG00000253537,+
5,141390156,141390157,Q9Y5G5,ENSG00000253767,+
5,141402777,141402778,Q9Y5G4,ENSG00000261934,+
