PG.Genes	PG.ProteinAccessions	PG.ProteinDescriptions	PG.ProteinNames	PG.Qvalue	gene_id	gene_chr	gene_start_hg38	gene_end_hg38	strand
	P0DOX2	Immunoglobulin alpha-2 heavy chain	IGA2_HUMAN	8.61e-16					
	P0DOX3	Immunoglobulin delta heavy chain	IGD_HUMAN	1.28e-13					
	P0DOX5	Immunoglobulin gamma-1 heavy chain	IGG1_HUMAN	3.79e-23					
	P0DOX7	Immunoglobulin kappa light chain	IGK_HUMAN	3.58e-09					
	P0DOX8	Immunoglobulin lambda-1 light chain	IGL1_HUMAN	3.51e-09					
HPF1	A8MVJ9;Q9NWY4	Putative histone PARylation factor 1-like;Histone PARylation factor 1	HPF1L_HUMAN;HPF1_HUMAN	0.001588301					
A1BG	P04217	Alpha-1B-glycoprotein	A1BG_HUMAN	3.19e-17	1	19	58346806	58353499	-
A2M	P01023	Alpha-2-macroglobulin	A2MG_HUMAN	3.02e-22	2	12	9067708	9115962	-
A2ML1	A8K2U0	Alpha-2-macroglobulin-like protein 1	A2ML1_HUMAN	1.76e-20	144568	12	8822554	8886918	+
AAAS	Q9NRG9	Aladin	AAAS_HUMAN	1.75e-08	8086	12	53307456	53321628	-
AACS	Q86V21	Acetoacetyl-CoA synthetase	AACS_HUMAN	8.42e-20	65985	12	125065379	125143327	+
AADACL3	Q5VUY0	Arylacetamide deacetylase-like 3	ADCL3_HUMAN	0.000546935	126767	1	12716115	12728759	+
AAK1	Q2M2I8	AP2-associated protein kinase 1	AAK1_HUMAN	4.45e-05	22848	2	69457995	69643845	-
AAMDC	Q9H7C9	Mth938 domain-containing protein	AAMDC_HUMAN	2.66e-16	28971	11	77821107	77872354	+
AAMP	Q13685	Angio-associated migratory cell protein	AAMP_HUMAN	9.42e-11	14	2	218264129	218270209	-
AARS1	P49588	"Alanine--tRNA ligase, cytoplasmic"	SYAC_HUMAN	1.08e-21					
AARS2	Q5JTZ9	"Alanine--tRNA ligase, mitochondrial"	SYAM_HUMAN	7.72e-06	57505	6	44297826	44313358	-
